Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Maxima Broken Date/Price,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,2010-11-28,27.41,2011-09-25,18.48,214 days,2010-10-31/24.7957,-32.59%,-32.59%,Rise by 22.73%,-32.59%
Buy,2012-12-09,12.28,2013-01-27,24.22,34 days,2012-07-15/12.1286,97.21%,97.21%,Rise by 120.41%,64.62%
Buy,2013-04-28,30.79,2013-11-17,49.97,144 days,2013-02-17/27.0729,62.26%,62.26%,Rise by 22.75%,126.88%
Buy,2014-01-26,55.15,2015-05-24,88.84,344 days,2013-12-22/53.6671,61.07%,61.07%,Rise by -12.63%,187.95%
Buy,2015-07-12,97.23,2017-05-07,156.6,474 days,2015-06-14/94.4186,61.06%,61.06%,Rise by 34.66%,249.02%
Buy,2017-07-23,188.54,2018-03-11,331.44,164 days,2017-06-04/165.18,75.79%,75.79%,Rise by 6.08%,324.81%
Buy,2018-05-27,351.29,2018-11-25,258.82,129 days,2018-03-11/331.44,-26.32%,-26.32%,Rise by 6.5%,298.49%
Buy,2019-04-28,374.85,2019-08-25,291.44,84 days,2018-09-30/374.13,-22.25%,-22.25%,Rise by 1.52%,276.24%
Buy,2020-04-19,422.96,2021-10-31,690.31,399 days,2018-06-24/411.09,63.21%,63.21%,Rise by 29.74%,339.45%
Buy,2022-12-04,320.41,2024-01-28,570.42,299 days,2022-10-30/295.72,78.03%,78.03%,Rise by 14.2%,417.47%
Buy,2024-05-26,646.75,2025-02-16,1058.6,189 days,2024-04-07/636.18,63.68%,63.68%,Rise by 44.53%,481.15%
Buy,2025-04-27,1101.53,2025-04-27,1101.53,0 days,2025-02-16/1058.6,0.00%,0.00%,Rise by 0%,481.15%
