Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Spread,Actual Rise/Fall wrt Entry,Return,Cum-Return
2000-11-19,20.0,2001-08-26,24.375,Buy,199 Days,29.16,Rise by 8.63%,21.88%,21.88%
2000-12-24,21.1,2001-02-04,22.95,Sell,29 Days,-20.0,Fall by 7.46%,-8.77%,13.11%
2001-03-25,19.525,2001-06-03,22.515,Sell,49 Days,-19.44,Fall by 2.56%,-15.31%,-2.21%
2001-09-23,22.325,2001-11-11,24.4,Sell,34 Days,-13.51,Fall by -2.91%,-9.29%,-11.5%
2001-11-11,24.4,2002-02-10,23.125,Sell,64 Days,-7.69,Fall by 5.84%,5.23%,-6.28%
2002-05-12,26.375,2002-06-16,25.575,Sell,24 Days,-10.53,Fall by 10.9%,3.03%,-3.24%
2003-01-12,26.25,2003-02-02,25.35,Sell,14 Days,-4.76,Fall by 4.0%,3.43%,0.19%
2004-03-28,35.8,2004-05-16,33.7,Sell,34 Days,-11.11,Fall by 6.93%,5.87%,6.05%
2004-05-16,33.7,2004-06-27,36.0,Sell,29 Days,-10.53,Fall by -5.88%,-6.82%,-0.77%
2005-03-27,39.8,2005-07-24,42.19,Sell,84 Days,-18.71,Fall by -2.39%,-6.01%,-6.78%
2005-05-29,39.55,2006-02-26,47.95,Buy,194 Days,20.72,Rise by 6.68%,21.24%,14.46%
2005-08-21,41.5,2005-11-13,44.19,Sell,59 Days,-11.11,Fall by -10.24%,-6.48%,7.98%
2006-01-08,46.45,2006-05-14,43.8,Sell,89 Days,-10.87,Fall by 1.72%,5.71%,13.68%
2006-04-23,46.16,2006-05-14,43.8,Sell,14 Days,-7.1,Fall by -10.55%,5.11%,18.8%
2008-03-30,45.0,2008-11-16,37.45,Buy,164 Days,8.0,Rise by 10.89%,-16.78%,2.02%
2009-03-22,30.65,2009-05-10,37.66,Buy,34 Days,6.79,Rise by 22.87%,22.87%,24.89%
2011-03-20,57.88,2011-07-31,54.18,Sell,94 Days,-11.63,Fall by 1.92%,6.39%,31.28%
2012-04-15,54.1,2012-05-20,51.11,Sell,24 Days,-13.42,Fall by 5.82%,5.53%,36.81%
2013-05-12,59.08,2014-06-22,70.9,Buy,289 Days,13.36,Rise by -0.08%,20.01%,56.82%
2013-08-25,58.68,2013-10-27,62.39,Sell,44 Days,-13.9,Fall by -7.26%,-6.32%,50.49%
2015-08-02,64.19,2015-08-16,61.49,Sell,9 Days,-19.6,Fall by 10.03%,4.21%,54.7%
2016-01-17,52.27,2016-01-31,57.39,Sell,9 Days,-27.63,Fall by -3.27%,-9.8%,44.9%
2016-11-20,72.0,2020-03-15,59.19,Buy,864 Days,20.08,Rise by 13.64%,-17.79%,27.11%
2018-04-15,76.47,2018-10-14,71.71,Sell,129 Days,-16.67,Fall by 2.65%,6.22%,33.34%
2021-01-24,69.4,2021-11-14,83.39,Buy,209 Days,8.07,Rise by 14.58%,20.16%,53.5%
2021-10-03,78.65,2021-11-14,83.39,Sell,29 Days,-12.57,Fall by -8.15%,-6.03%,47.47%
2023-06-11,66.13,2023-10-29,55.41,Buy,99 Days,20.25,Rise by 1.71%,-16.21%,31.26%
2025-01-19,73.57,2025-03-09,69.49,Sell,34 Days,-15.14,Fall by 13.05%,5.55%,36.8%
2025-07-06,74.92,2025-10-05,91.03,Buy,64 Days,11.9,Rise by 21.5%,21.5%,58.31%
