Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Spread,Actual Rise/Fall wrt Entry,Return,Cum-Return,Signal Open Price
2014-09-28,90.46,2014-11-09,114.56,Buy,29 Days,13.61,Rise by 27.24%,26.64%,26.64%,
2015-08-02,78.34,2015-08-16,74.76,Sell,9 Days,-19.6,Fall by 18.42%,4.57%,31.21%,
2016-01-17,69.59,2016-01-31,67.03,Sell,9 Days,-27.63,Fall by -9.1%,3.68%,34.89%,
2016-11-20,93.39,2017-04-23,113.11,Buy,109 Days,20.08,Rise by 49.31%,21.12%,56.01%,
2018-04-15,172.04,2018-05-06,188.89,Sell,14 Days,-16.67,Fall by -7.84%,-9.79%,46.21%,
2021-01-24,258.62,2021-05-16,209.51,Buy,79 Days,8.07,Rise by -10.34%,-18.99%,27.22%,
2021-10-03,144.2,2021-10-10,161.52,Sell,4 Days,-12.57,Fall by 22.36%,-12.01%,15.21%,
2023-06-11,85.5,2023-12-10,72.14,Buy,129 Days,20.25,Rise by 17.6%,-15.63%,-0.41%,
2025-01-19,85.12,2025-02-02,98.84,Sell,9 Days,-15.14,Fall by -26.56%,-16.12%,-16.53%,
2025-07-06,108.7,2025-08-31,135.0,Buy,39 Days,11.9,Rise by 72.98%,24.2%,7.66%,
