Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Sigma,Actual Rise/Fall wrt Entry,Return,Cum-Return
2021-03-01,12301.8096,2021-09-10,13064.3896,Buy,139 Days,-8.96,Rise by 3.15%,6.2%,6.2%
2021-12-01,12700.2197,2022-08-09,11753.4805,Buy,179 Days,-4.56,Rise by 2.31%,-7.45%,-1.26%
2022-02-11,12173.7803,2022-08-09,11753.4805,Buy,127 Days,-3.02,Rise by 0.6%,-3.45%,-4.71%
2022-03-07,11769.8701,2022-08-09,11753.4805,Buy,111 Days,-3.46,Rise by 3.69%,-0.14%,-4.85%
2022-05-03,11675.9199,2022-08-09,11753.4805,Buy,70 Days,-3.08,Rise by -3.08%,0.66%,-4.18%
2022-05-16,11157.6602,2022-08-09,11753.4805,Buy,61 Days,-3.07,Rise by 1.42%,5.34%,1.16%
2022-06-08,11266.2402,2022-08-09,11753.4805,Buy,44 Days,-3.08,Rise by -2.2%,4.32%,5.48%
2022-06-20,10588.2002,2022-08-09,11753.4805,Buy,36 Days,-3.04,Rise by 4.07%,11.01%,16.49%
2022-07-01,10753.1602,2023-01-10,11656.4502,Buy,137 Days,-7.22,Rise by 3.87%,8.4%,24.89%
2022-10-03,10959.4502,2023-01-11,11646.8096,Buy,72 Days,-6.32,Rise by -0.39%,6.27%,31.16%
2022-10-13,10817.4805,2022-12-08,11604.5195,Buy,40 Days,-3.01,Rise by 4.82%,7.28%,38.43%
2023-09-05,11437.25,2023-11-20,11182.3398,Buy,54 Days,-3.68,Rise by -0.35%,-2.23%,36.21%
2023-11-01,10850.9199,2024-02-08,11808.5,Buy,71 Days,-7.1,Rise by 4.58%,8.82%,45.03%
2025-03-03,12386.5801,2025-07-24,12805.1299,Buy,103 Days,-5.81,Rise by 1.04%,3.38%,48.41%
2025-04-02,12320.1904,2025-07-24,12805.1299,Buy,81 Days,-6.17,Rise by 3.79%,3.94%,52.35%
