Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Spread,Actual Rise/Fall wrt Entry,Return,Cum-Return
2000-11-19,0.5898,2001-07-08,0.7302,Buy,164 Days,29.16,Rise by 0.0%,23.8%,23.8%
2000-12-24,0.5523,2001-01-28,0.5898,Sell,24 Days,-20.0,Fall by -15.26%,-6.79%,17.01%
2001-03-25,0.6413,2001-06-03,0.6928,Sell,49 Days,-19.44,Fall by 0.73%,-8.03%,8.98%
2001-09-23,0.6506,2001-10-07,0.7396,Sell,9 Days,-13.51,Fall by -20.15%,-13.68%,-4.7%
2001-11-11,0.7677,2001-12-23,0.8191,Sell,29 Days,-7.69,Fall by -1.82%,-6.7%,-11.39%
2002-05-12,0.8285,2002-06-02,0.8894,Sell,14 Days,-10.53,Fall by -1.13%,-7.35%,-18.74%
2003-01-12,0.8425,2003-02-16,0.7957,Sell,24 Days,-4.76,Fall by 11.11%,5.55%,-13.19%
2004-03-28,1.2825,2004-04-25,1.4276,Sell,19 Days,-11.11,Fall by -5.84%,-11.31%,-24.5%
2004-05-16,1.4276,2004-06-13,1.3574,Sell,19 Days,-10.53,Fall by -1.65%,4.92%,-19.58%
2005-03-27,1.5681,2005-05-29,1.6757,Sell,44 Days,-18.71,Fall by -14.92%,-6.86%,-26.44%
2005-05-29,1.6757,2006-04-09,2.0221,Buy,224 Days,20.72,Rise by 14.53%,20.67%,-5.77%
2005-08-21,1.9191,2005-08-28,1.8068,Sell,4 Days,-11.11,Fall by 14.15%,5.85%,0.08%
2006-01-08,1.7272,2006-01-15,1.8396,Sell,4 Days,-10.87,Fall by -0.27%,-6.51%,-6.43%
2006-04-23,1.9847,2006-06-04,1.8957,Sell,29 Days,-7.1,Fall by 5.66%,4.48%,-1.94%
2008-03-30,2.1441,2008-06-29,1.818,Buy,64 Days,8.0,Rise by -10.14%,-15.21%,-17.15%
2009-03-22,1.492,2009-08-09,1.7982,Buy,99 Days,6.79,Rise by 12.58%,20.52%,3.37%
2011-03-20,1.8773,2011-06-12,1.818,Sell,59 Days,-11.63,Fall by 2.63%,3.16%,6.53%
2012-04-15,1.8575,2012-05-13,2.0156,Sell,19 Days,-13.42,Fall by -6.38%,-8.51%,-1.98%
2013-05-12,2.4504,2014-11-09,2.9641,Buy,389 Days,13.36,Rise by -11.29%,20.96%,18.98%
2013-08-25,2.3911,2013-12-08,2.2132,Sell,74 Days,-13.9,Fall by 0.83%,7.44%,26.42%
2015-08-02,3.1914,2015-08-30,2.9938,Sell,19 Days,-19.6,Fall by 8.82%,6.19%,32.61%
2016-01-17,3.1025,2016-04-10,3.3248,Sell,59 Days,-27.63,Fall by 2.23%,-7.17%,25.45%
2016-11-20,2.7665,2018-05-27,3.3594,Buy,394 Days,20.08,Rise by 4.29%,21.43%,46.88%
2018-04-15,3.1617,2018-05-27,3.3594,Sell,29 Days,-16.67,Fall by -7.5%,-6.25%,40.63%
2021-01-24,7.38,2022-08-07,9.075,Buy,399 Days,8.07,Rise by 6.03%,22.97%,63.59%
2021-10-03,8.09,2022-01-23,7.82,Sell,79 Days,-12.57,Fall by 0.62%,3.34%,66.93%
2023-06-11,9.85,2024-09-08,11.9,Buy,324 Days,20.25,Rise by 5.99%,20.81%,87.74%
2025-01-19,11.91,2025-02-02,11.21,Sell,9 Days,-15.14,Fall by 11.5%,5.88%,93.62%
2025-07-06,10.77,2025-07-06,10.77,Buy,0 Days,11.9,Rise by 0%,0.0%,93.62%
