Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Spread,Actual Rise/Fall wrt Entry,Return,Cum-Return
2001-09-23,34.1667,2001-09-30,37.6433,Sell,4 Days,-13.51,Fall by -14.13%,-10.18%,-10.18%
2001-09-30,37.6433,2002-10-06,31.1667,Buy,264 Days,28.89,Rise by 6.24%,-17.21%,-27.38%
2001-11-11,39.7333,2002-01-20,38.5,Sell,49 Days,-7.69,Fall by 1.86%,3.1%,-24.28%
2002-05-12,40.4133,2002-06-16,38.3533,Sell,24 Days,-10.53,Fall by 6.3%,5.1%,-19.18%
2003-01-12,33.5233,2003-01-26,32.15,Sell,9 Days,-4.76,Fall by 10.27%,4.1%,-15.08%
2004-03-28,46.1,2004-05-16,43.8633,Sell,34 Days,-11.11,Fall by 4.85%,4.85%,-10.23%
2004-05-16,43.8633,2004-06-13,46.9667,Sell,19 Days,-10.53,Fall by -1.98%,-7.08%,-17.31%
2005-03-27,53.1,2005-05-15,51.3333,Sell,34 Days,-18.71,Fall by 3.33%,3.33%,-13.98%
2005-05-29,52.3333,2006-03-19,64.7,Buy,209 Days,20.72,Rise by 7.77%,23.63%,9.65%
2005-08-21,55.42,2005-12-04,58.85,Sell,74 Days,-11.11,Fall by 0.83%,-6.19%,3.46%
2006-01-08,62.45,2006-01-22,60.33,Sell,9 Days,-10.87,Fall by 0.88%,3.39%,6.86%
2006-04-23,67.45,2006-06-11,61.91,Sell,34 Days,-7.1,Fall by 8.23%,8.21%,15.07%
2008-03-30,71.64,2008-09-07,59.44,Buy,114 Days,8.0,Rise by 9.6%,-17.03%,-1.96%
2009-03-22,36.83,2009-05-10,45.95,Buy,34 Days,6.79,Rise by 31.5%,24.76%,22.8%
2011-03-20,57.92,2011-04-24,62.07,Sell,24 Days,-11.63,Fall by -4.42%,-7.17%,15.64%
2012-04-15,52.32,2012-05-20,48.11,Sell,24 Days,-13.42,Fall by 11.03%,8.05%,23.69%
2013-05-12,62.69,2016-01-17,53.26,Buy,699 Days,13.36,Rise by -1.36%,-15.04%,8.64%
2013-08-25,61.57,2013-09-01,59.17,Sell,4 Days,-13.9,Fall by -4.06%,3.9%,12.54%
2015-08-02,64.78,2015-08-23,59.92,Sell,14 Days,-19.6,Fall by 11.07%,7.5%,20.04%
2016-01-17,53.26,2016-03-13,57.32,Sell,39 Days,-27.63,Fall by -0.75%,-7.62%,12.42%
2016-11-20,56.2,2017-08-06,67.46,Buy,184 Days,20.08,Rise by 10.84%,20.04%,32.46%
2018-04-15,70.79,2018-06-24,67.8,Sell,49 Days,-16.67,Fall by 1.12%,4.22%,36.68%
2021-01-24,75.15,2022-06-19,61.48,Buy,364 Days,8.07,Rise by 5.51%,-18.19%,18.49%
2021-10-03,78.2,2022-01-30,74.73,Sell,84 Days,-12.57,Fall by 1.98%,4.44%,22.93%
2023-06-11,71.52,2025-05-04,86.1,Buy,494 Days,20.25,Rise by 4.08%,20.39%,43.31%
2025-01-19,76.78,2025-02-16,81.93,Sell,19 Days,-15.14,Fall by 2.29%,-6.71%,36.61%
2025-07-06,89.52,2025-07-06,89.52,Buy,0 Days,11.9,Rise by 0%,0.0%,36.61%
