Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Maxima Broken Date/Price,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,1995-01-31,0.41,1995-08-31,0.68,152 days,1994-01-31/0.3984,67.33%,67.33%,Rise by 175.04%,67.33%
Buy,1995-09-30,0.69,1996-01-31,1.12,87 days,1995-08-31/0.6797,62.50%,62.50%,Rise by -13.63%,129.83%
Buy,1997-09-30,1.39,1997-10-31,1.07,23 days,1996-01-31/1.1172,-23.10%,-23.10%,Rise by -19.3%,106.74%
Buy,1998-12-31,1.28,1999-07-31,2.42,151 days,1998-01-31/1.2656,88.74%,88.74%,Rise by 89.8%,195.47%
Buy,1999-08-31,2.44,1999-11-30,1.5,65 days,1999-07-31/2.4219,-38.41%,-38.41%,Rise by -39.93%,157.06%
Buy,2000-08-31,3.38,2000-10-31,2.69,43 days,1999-08-31/2.4355,-20.37%,-20.37%,Rise by -37.33%,136.69%
Buy,2001-06-30,3.64,2003-05-31,6.53,499 days,2000-09-30/3.4277,79.62%,79.62%,Rise by 24.09%,216.31%
Buy,2003-06-30,6.94,2005-07-31,11.2,544 days,2003-05-31/6.5325,61.33%,61.33%,Rise by 34.58%,277.64%
Buy,2005-09-30,12.19,2007-04-30,20.43,411 days,2005-07-31/11.2025,67.60%,67.60%,Rise by 27.71%,345.24%
Buy,2007-05-31,20.69,2010-08-31,15.92,848 days,2007-04-30/20.43,-23.09%,-23.09%,Rise by 12.46%,322.15%
Buy,2012-01-31,24.43,2013-01-31,39.45,262 days,2011-03-31/21.235,61.48%,61.48%,Rise by 238.89%,383.63%
Buy,2013-02-28,42.72,2013-10-31,71.18,175 days,2013-01-31/39.45,66.62%,66.62%,Rise by 93.8%,450.25%
Buy,2013-11-30,74.81,2020-10-31,58.15,1804 days,2013-10-31/71.18,-22.27%,-22.27%,Rise by 49.71%,427.98%
Buy,2021-08-31,72.78,2025-10-31,119.79,1088 days,2021-06-30/68.86,64.59%,64.59%,Rise by -17.01%,492.58%
