Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Spread,Actual Rise/Fall wrt Entry,Return,Cum-Return,Signal Open Price
2000-11-19,72.8281,2000-12-24,60.5,Buy,24 Days,29.16,Rise by -16.93%,-16.93%,-16.93%,
2000-12-24,60.5,2000-12-31,58.375,Sell,4 Days,-20.0,Fall by 15.4%,3.51%,-13.42%,
2001-03-25,42.8,2001-04-01,39.15,Sell,4 Days,-19.44,Fall by 0.47%,8.53%,-4.89%,
2001-09-23,28.19,2001-10-07,31.76,Sell,9 Days,-13.51,Fall by -19.37%,-12.66%,-17.55%,
2001-11-11,37.73,2001-12-09,41.73,Sell,19 Days,-7.69,Fall by 10.81%,-10.6%,-28.15%,
2002-05-12,29.56,2002-05-19,32.93,Sell,4 Days,-10.53,Fall by 12.65%,-11.4%,-39.55%,
2003-01-12,27.1,2003-01-19,25.31,Sell,4 Days,-4.76,Fall by -16.09%,6.61%,-32.95%,
2004-03-28,35.22,2004-08-08,32.72,Sell,94 Days,-11.11,Fall by 1.33%,7.1%,-25.85%,
2004-05-16,34.75,2004-06-13,36.84,Sell,19 Days,-10.53,Fall by 6.42%,-6.01%,-31.86%,
2005-03-27,36.27,2005-04-17,34.74,Sell,14 Days,-18.71,Fall by -1.27%,4.22%,-27.65%,
2005-05-29,38.21,2007-04-29,46.57,Buy,499 Days,20.72,Rise by 3.59%,21.88%,-5.77%,
2005-08-21,38.82,2005-11-20,41.45,Sell,64 Days,-11.11,Fall by 1.96%,-6.77%,-12.54%,
2006-01-08,42.68,2006-01-22,41.25,Sell,9 Days,-10.87,Fall by 4.97%,3.35%,-9.19%,
2006-04-23,42.0,2006-05-14,40.19,Sell,14 Days,-7.1,Fall by 9.17%,4.31%,-4.88%,
2008-03-30,43.49,2008-10-05,36.18,Buy,134 Days,8.0,Rise by 14.99%,-16.81%,-21.69%,
2009-03-22,29.18,2009-05-31,35.38,Buy,49 Days,6.79,Rise by 17.79%,21.25%,-0.44%,
2011-03-20,54.45,2011-04-24,58.34,Sell,24 Days,-11.63,Fall by 1.21%,-7.14%,-7.59%,
2012-04-15,66.19,2012-05-13,64.18,Sell,19 Days,-13.42,Fall by 8.73%,3.04%,-4.55%,
2013-05-12,73.05,2014-01-19,87.88,Buy,179 Days,13.36,Rise by 5.37%,20.3%,15.75%,
2013-08-25,76.67,2013-10-20,82.15,Sell,39 Days,-13.9,Fall by -12.52%,-7.15%,8.6%,
2015-08-02,111.95,2015-08-23,102.4,Sell,14 Days,-19.6,Fall by 8.74%,8.53%,17.13%,
2016-01-17,100.84,2016-03-20,107.37,Sell,44 Days,-27.63,Fall by -4.62%,-6.48%,10.66%,
2016-11-20,117.32,2017-05-28,141.22,Buy,134 Days,20.08,Rise by 12.84%,20.37%,31.03%,
2018-04-15,161.37,2018-06-03,172.74,Sell,34 Days,-16.67,Fall by -4.96%,-7.05%,23.98%,
2021-01-24,325.42,2021-11-07,398.6,Buy,204 Days,8.07,Rise by 5.1%,22.49%,46.47%,
2021-10-03,360.18,2021-10-31,386.11,Sell,19 Days,-12.57,Fall by -6.37%,-7.2%,39.27%,
2023-06-11,354.5,2024-02-04,429.01,Buy,169 Days,20.25,Rise by 8.17%,21.02%,60.29%,
2025-01-19,521.74,2025-03-09,491.79,Sell,34 Days,-15.14,Fall by 10.12%,5.74%,66.03%,
2025-07-06,556.22,2025-07-06,556.22,Buy,0 Days,11.9,Rise by 0%,0.0%,66.03%,
