Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Maxima Broken Date/Price,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,1935-09-30,11.59,1938-03-31,8.5,653 days,1934-03-31/10.62,-26.66%,-26.66%,Rise by 54.62%,-26.66%
Buy,1943-03-31,11.58,1950-09-30,19.45,1957 days,1941-09-30/10.2,67.96%,67.96%,Rise by 28.41%,41.30%
Buy,1950-12-31,20.43,1954-12-31,35.98,1044 days,1950-09-30/19.45,76.11%,76.11%,Rise by 23.79%,117.41%
Buy,1955-03-31,36.58,1959-12-31,59.89,1240 days,1954-12-31/35.98,63.72%,63.72%,Rise by 32.53%,181.14%
Buy,1961-03-31,65.06,1972-03-31,107.2,2870 days,1959-12-31/59.89,64.77%,64.77%,Rise by 9.98%,245.91%
Buy,1972-09-30,110.55,1974-06-30,86.0,454 days,1972-03-31/107.2,-22.21%,-22.21%,Rise by -11.76%,223.70%
Buy,1976-03-31,102.77,1983-06-30,167.64,1891 days,1975-06-30/95.19,63.12%,63.12%,Rise by 4.56%,286.82%
Buy,1985-03-31,180.66,1987-03-31,291.7,521 days,1983-06-30/167.64,61.46%,61.46%,Rise by 38.85%,348.29%
Buy,1987-06-30,304.0,1995-03-31,500.71,2023 days,1987-03-31/291.7,64.71%,64.71%,Rise by -14.84%,412.99%
Buy,1995-06-30,544.75,1997-06-30,885.14,521 days,1995-03-31/500.71,62.49%,62.49%,Rise by 73.89%,475.48%
Buy,1997-09-30,947.28,2007-09-30,1526.75,2608 days,1997-06-30/885.14,61.17%,61.17%,Rise by 55.1%,536.65%
Buy,2010-12-31,1257.64,2014-12-31,2058.9,1043 days,2010-03-31/1169.4301,63.71%,63.71%,Rise by -10.04%,600.36%
Buy,2015-03-31,2067.89,2020-09-30,3363.0,1436 days,2014-12-31/2058.8999,62.63%,62.63%,Rise by 17.19%,662.99%
Buy,2020-12-31,3756.07,2025-06-30,6204.95,1172 days,2020-09-30/3363.0,65.20%,65.20%,Rise by 26.89%,728.19%
Buy,2025-09-30,6688.46,2025-09-30,6688.46,0 days,2025-06-30/6204.9502,0.00%,0.00%,Rise by 0%,728.19%
