Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Maxima Broken Date/Price,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit,Signal Open Price
Buy,1971-03-31,0.56,1971-12-31,0.94,197 days,1969-03-31/0.4846,65.87%,65.87%,Rise by 150.18%,65.87%,
Buy,1972-03-31,1.19,1974-09-30,0.61,651 days,1971-12-31/0.9352,-49.10%,-49.10%,Rise by 57.63%,16.78%,
Buy,1975-12-31,1.44,1977-03-31,0.98,326 days,1973-12-31/1.4074,-31.91%,-31.91%,Rise by -31.91%,-15.13%,
Buy,1981-03-31,1.55,1983-03-31,2.55,522 days,1979-09-30/1.216,64.34%,64.34%,Rise by 56.57%,49.21%,
Buy,1983-12-31,2.61,1985-12-31,4.49,521 days,1983-03-31/2.5463,72.08%,72.08%,Rise by 105.06%,121.29%,
Buy,1986-03-31,5.35,1989-12-31,8.62,979 days,1985-12-31/4.4931,61.09%,61.09%,Rise by 26.07%,182.38%,
Buy,1990-06-30,8.88,1990-09-30,6.5,64 days,1989-12-31/8.625,-26.76%,-26.76%,Rise by 25.0%,155.62%,
Buy,1991-12-31,9.5,1995-03-31,17.06,848 days,1990-06-30/8.875,79.61%,79.61%,Rise by 39.15%,235.22%,
Buy,1995-06-30,19.56,1998-06-30,34.5,782 days,1995-03-31/17.0625,76.36%,76.36%,Rise by 22.68%,311.58%,
Buy,1998-12-31,38.41,2000-09-30,30.19,456 days,1998-06-30/34.5,-21.40%,-21.40%,Rise by -14.24%,290.18%,
Buy,2004-03-31,28.57,2007-06-30,50.76,847 days,2002-06-30/28.45,77.67%,77.67%,Rise by 12.22%,367.85%,
Buy,2007-09-30,54.47,2011-09-30,87.82,1044 days,2007-06-30/50.76,61.23%,61.23%,Rise by 14.17%,429.08%,
Buy,2011-12-31,100.33,2017-12-31,172.12,1564 days,2011-09-30/87.82,71.55%,71.55%,Rise by -12.08%,500.63%,
Buy,2018-12-31,177.57,2023-06-30,298.41,1174 days,2017-12-31/172.12,68.05%,68.05%,Rise by 20.92%,568.68%,
Buy,2024-09-30,304.51,2024-09-30,304.51,0 days,2023-06-30/298.41,0.00%,0.00%,Rise by 0%,568.68%,
