Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Spread,Actual Rise/Fall wrt Entry,Return,Cum-Return
2002-05-26,1.21,2002-06-02,1.0764,Sell,4 Days,-11.96,Fall by 17.41%,11.04%,11.04%
2002-06-23,0.9793,2002-07-07,1.2764,Buy,9 Days,20.0,Rise by -11.02%,30.34%,41.38%
2002-06-30,0.9993,2002-07-07,1.2764,Sell,4 Days,-15.05,Fall by 22.16%,-27.73%,13.65%
2003-01-12,0.8864,2003-01-19,0.8171,Sell,4 Days,-4.76,Fall by -54.72%,7.82%,21.47%
2004-03-28,4.1386,2004-04-04,5.0257,Sell,4 Days,-11.11,Fall by 12.46%,-21.43%,0.03%
2004-05-16,4.3914,2004-05-30,4.7029,Sell,9 Days,-10.53,Fall by 3.87%,-7.09%,-7.06%
2005-03-27,1.29,2005-04-03,1.5471,Sell,4 Days,-18.71,Fall by -218.5%,-19.93%,-26.99%
2005-05-29,2.0786,2005-07-31,2.6514,Buy,44 Days,20.72,Rise by 51.89%,27.56%,0.57%
2005-08-21,3.0543,2005-09-11,3.5671,Sell,14 Days,-11.11,Fall by -20.39%,-16.79%,-16.22%
2006-01-08,3.5757,2006-01-22,3.3529,Sell,9 Days,-10.87,Fall by -11.35%,6.23%,-9.99%
2006-04-23,4.4,2006-04-30,4.2343,Sell,4 Days,-7.1,Fall by 10.62%,3.77%,-6.23%
2008-03-30,5.0843,2008-06-29,3.82,Buy,64 Days,8.0,Rise by -12.62%,-24.87%,-31.09%
2009-03-22,5.95,2009-10-25,7.8414,Buy,154 Days,6.79,Rise by -0.14%,31.79%,0.7%
2011-03-20,29.9143,2011-03-27,32.8586,Sell,4 Days,-11.63,Fall by -9.58%,-9.84%,-9.15%
2012-04-15,14.8814,2012-04-29,11.9629,Sell,9 Days,-13.42,Fall by 32.84%,19.61%,10.46%
2013-05-12,31.0986,2013-07-21,37.7971,Buy,49 Days,13.36,Rise by 21.54%,21.54%,32.0%
2013-08-25,39.7657,2013-09-15,43.6643,Sell,14 Days,-13.9,Fall by -18.57%,-9.8%,22.2%
2015-08-02,114.31,2015-08-09,123.52,Sell,4 Days,-19.6,Fall by 13.58%,-8.06%,14.14%
2016-01-17,104.04,2016-01-24,100.72,Sell,4 Days,-27.63,Fall by 14.23%,3.19%,17.33%
2016-11-20,115.21,2017-01-22,138.6,Buy,44 Days,20.08,Rise by 25.7%,20.3%,37.64%
2018-04-15,311.65,2018-05-27,351.29,Sell,29 Days,-16.67,Fall by -1.65%,-12.72%,24.92%
2021-01-24,565.17,2021-10-31,690.31,Buy,199 Days,8.07,Rise by -10.11%,22.14%,47.06%
2021-10-03,613.15,2021-10-24,664.78,Sell,14 Days,-12.57,Fall by 4.31%,-8.42%,38.64%
2023-06-11,420.02,2023-10-15,355.68,Buy,89 Days,20.25,Rise by 5.21%,-15.32%,23.32%
2025-01-19,858.1,2025-01-26,977.59,Sell,4 Days,-15.14,Fall by -3.85%,-13.92%,9.4%
2025-07-06,1297.1801,2025-10-26,1094.6899,Buy,79 Days,11.9,Rise by -4.11%,-15.61%,-6.21%
