Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Actual Rise/Fall wrt Entry,Return,Signal Open Price
2012-02-26,18.66,2012-04-08,22.63,Buy,29 days,Rise by 34.010000%,21.3,
2013-10-27,18.78,2013-12-29,20.0,Buy,44 days,Rise by 6.490000%,6.49,
2013-12-08,20.0,2014-05-25,21.93,Buy,119 days,Rise by -10.610000%,9.66,
2014-05-04,21.16,2014-06-15,22.82,Buy,29 days,Rise by 21.080000%,7.83,
2014-08-31,25.62,2014-11-23,29.12,Buy,59 days,Rise by 16.030000%,13.63,
2014-12-28,28.5,2015-03-01,32.12,Buy,44 days,Rise by 13.610000%,12.69,
2015-02-08,29.73,2015-03-15,30.9,Buy,24 days,Rise by 11.440000%,3.92,
2015-08-09,28.88,2015-10-25,29.77,Sell,54 days,Fall by 16.070000%,-3.08,
2016-02-07,23.5,2016-03-06,25.75,Sell,19 days,Fall by 3.720000%,-9.56,
2016-05-08,23.18,2016-05-29,25.09,Sell,14 days,Fall by -16.940000%,-8.23,
2016-06-26,23.35,2016-07-31,26.05,Sell,24 days,Fall by -16.090000%,-11.57,
2016-08-07,26.87,2016-10-16,29.41,Buy,49 days,Rise by 9.440000%,9.44,
2017-04-02,35.92,2017-05-28,38.4,Buy,39 days,Rise by 14.190000%,6.93,
2018-02-11,39.1,2018-02-18,43.11,Sell,4 days,Fall by -3.780000%,-10.24,
2018-06-10,47.92,2018-09-02,56.91,Buy,59 days,Rise by 18.740000%,18.74,
2019-09-15,54.69,2019-11-03,63.96,Buy,34 days,Rise by 48.550000%,16.95,
2019-10-13,59.05,2019-11-17,66.44,Buy,24 days,Rise by 37.570000%,12.51,
2020-08-16,114.91,2020-12-27,131.97,Buy,94 days,Rise by 21.030000%,14.85,
2021-02-28,121.26,2021-04-11,133.0,Sell,29 days,Fall by -2.760000%,-9.68,
2021-07-11,145.11,2021-09-19,146.06,Buy,49 days,Rise by 6.330000%,0.65,
2021-12-12,179.45,2023-07-09,190.68,Buy,409 days,Rise by -13.780000%,6.26,
2022-02-06,172.39,2023-06-25,186.68,Buy,359 days,Rise by 1.350000%,8.29,
2022-05-22,137.59,2022-07-10,147.04,Sell,34 days,Fall by -0.440000%,-6.87,
2022-06-19,131.56,2022-07-10,147.04,Sell,14 days,Fall by -5.050000%,-11.77,
2022-12-18,134.51,2023-01-29,145.93,Sell,29 days,Fall by -29.720000%,-8.49,
2022-12-25,131.86,2023-01-29,145.93,Sell,24 days,Fall by -32.330000%,-10.67,
2023-01-29,145.93,2023-04-02,164.9,Buy,44 days,Rise by 34.190000%,13.0,
2023-09-24,174.79,2023-11-12,186.4,Sell,34 days,Fall by -3.660000%,-6.64,
2024-03-10,170.73,2024-05-05,183.38,Sell,39 days,Fall by -43.820000%,-7.41,
2024-06-09,196.89,2024-07-14,230.54,Buy,24 days,Rise by 19.360000%,17.09,
2024-09-29,227.79,2024-12-22,254.49,Buy,59 days,Rise by 12.200000%,11.72,
2024-12-08,242.84,2025-10-19,252.29,Buy,224 days,Rise by 1.120000%,3.89,
2025-01-26,222.78,2025-02-16,244.6,Sell,14 days,Fall by 15.440000%,-9.79,
2025-08-17,231.59,2025-10-12,245.27,Buy,39 days,Rise by 16.750000%,5.91,
