Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Maxima Broken Date/Price,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit,Signal Open Price
Buy,1981-05-31,0.89,1984-02-29,1.44,717 days,1980-09-30/0.875,61.41%,61.41%,Rise by 21.05%,61.41%,
Buy,1984-03-31,1.62,1986-03-31,2.91,520 days,1984-02-29/1.4375,78.84%,78.84%,Rise by 30.77%,140.25%,
Buy,1986-04-30,3.06,1987-07-31,5.06,327 days,1986-03-31/2.9062,65.31%,65.31%,Rise by 84.69%,205.56%,
Buy,1987-08-31,5.31,1987-10-31,3.81,44 days,1987-07-31/5.0625,-28.24%,-28.24%,Rise by -27.06%,177.32%,
Buy,1988-10-31,4.16,1989-07-31,7.19,195 days,1987-12-31/4.125,72.93%,72.93%,Rise by 72.93%,250.26%,
Buy,1992-04-30,6.75,1998-07-31,11.28,1631 days,1991-07-31/6.1562,67.13%,67.13%,Rise by 9.72%,317.39%,
Buy,2000-10-31,7.12,2002-05-31,11.96,413 days,1999-10-31/6.9688,67.86%,67.86%,Rise by 24.35%,385.24%,
Buy,2003-10-31,12.04,2005-06-30,19.41,434 days,2002-05-31/11.96,61.28%,61.28%,Rise by 29.75%,446.52%,
Buy,2005-07-31,19.97,2007-05-31,34.04,478 days,2005-06-30/19.41,70.46%,70.46%,Rise by 27.94%,516.98%,
Buy,2007-06-30,34.57,2008-10-31,27.18,349 days,2007-05-31/34.04,-21.38%,-21.38%,Rise by 13.68%,495.60%,
Buy,2009-09-30,31.62,2012-02-29,50.64,630 days,2009-07-31/31.095,60.13%,60.13%,Rise by 8.93%,555.73%,
Buy,2012-04-30,51.46,2018-11-30,34.87,1719 days,2012-02-29/50.64,-32.24%,-32.24%,Rise by 7.87%,523.49%,
Buy,2019-12-31,42.46,2020-07-31,33.55,153 days,2019-03-31/41.72,-20.98%,-20.98%,Rise by -20.98%,502.51%,
Buy,2021-06-30,39.31,2023-09-30,31.41,587 days,2020-06-30/38.82,-20.10%,-20.10%,Rise by -14.4%,482.41%,
Buy,2024-07-31,35.64,2024-07-31,35.64,0 days,2023-07-31/33.68,0.00%,0.00%,Rise by 0%,482.41%,
