Entry Date,Entry Price,Exit Date,Exit Price,Divergence Start Date,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return,Signal Type
2015-11-22,50.48,2016-05-08,46.16,2015-11-15,Buy,24 Weeks,-8.56%,Rise by -11.41%,-8.56%,Absolute Extrema Case
2015-11-29,49.92,2016-05-08,46.16,2015-11-08,Buy,23 Weeks,-7.53%,Rise by -10.42%,-16.09%,Normal Case
2015-12-20,48.4,2016-05-08,46.16,2015-12-13,Buy,20 Weeks,-4.63%,Rise by -13.97%,-20.72%,Absolute Extrema Case
2016-05-08,46.16,2016-10-09,49.8,2016-05-01,Buy,22 Weeks,7.89%,Rise by 9.53%,-12.83%,Normal Case
2016-05-22,46.48,2016-10-09,49.8,2016-05-08,Buy,20 Weeks,7.14%,Rise by 8.78%,-5.69%,Normal Case
2016-06-26,45.36,2016-10-09,49.8,2016-06-19,Buy,15 Weeks,9.79%,Rise by 11.46%,4.1%,Normal Case
2016-08-07,48.4,2016-10-09,49.8,2016-07-31,Buy,9 Weeks,2.89%,Rise by 4.46%,6.99%,Normal Case
2016-08-21,49.2,2017-01-01,48.86,2016-08-14,Buy,19 Weeks,-0.69%,Rise by 4.17%,6.3%,Normal Case
2016-09-04,49.84,2017-01-01,48.86,2016-08-28,Buy,17 Weeks,-1.97%,Rise by 2.83%,4.33%,Normal Case
2016-09-11,49.32,2017-01-01,48.86,2016-09-04,Buy,16 Weeks,-0.93%,Rise by 3.91%,3.4%,Normal Case
2016-10-16,49.36,2017-01-01,48.86,2016-09-25,Buy,11 Weeks,-1.01%,Rise by 3.83%,2.39%,Normal Case
2016-10-30,50.48,2017-01-01,48.86,2016-10-23,Buy,9 Weeks,-3.21%,Rise by 2.75%,-0.82%,Normal Case
2017-01-15,50.89,2017-04-16,50.61,2016-12-25,Buy,13 Weeks,-0.55%,Rise by 1.93%,-1.37%,Normal Case
2017-01-29,50.83,2017-04-16,50.61,2017-01-22,Buy,11 Weeks,-0.43%,Rise by 2.05%,-1.8%,Normal Case
2017-03-19,51.83,2017-06-18,54.22,2017-03-05,Buy,13 Weeks,4.61%,Rise by 5.92%,2.81%,Normal Case
2017-03-26,51.87,2017-06-18,54.22,2017-03-19,Buy,12 Weeks,4.53%,Rise by 5.84%,7.34%,Normal Case
2017-04-23,51.46,2017-08-20,54.45,2017-04-09,Buy,17 Weeks,5.81%,Rise by 7.15%,13.15%,Normal Case
2017-05-21,53.05,2017-08-20,54.45,2017-05-14,Buy,13 Weeks,2.64%,Rise by 3.94%,15.79%,Normal Case
2017-08-13,54.07,2017-11-26,60.05,2017-07-30,Buy,15 Weeks,11.06%,Rise by 11.06%,26.85%,Normal Case
2017-08-20,54.45,2017-11-26,60.05,2017-08-13,Buy,14 Weeks,10.28%,Rise by 10.28%,37.13%,Normal Case
2017-10-01,55.71,2018-02-11,59.07,2017-09-24,Buy,19 Weeks,6.03%,Rise by 7.79%,43.16%,Normal Case
2017-10-29,58.42,2018-02-11,59.07,2017-10-22,Buy,15 Weeks,1.11%,Rise by 10.7%,44.28%,Normal Case
2017-12-31,59.93,2018-06-03,60.15,2017-12-24,Buy,22 Weeks,0.37%,Rise by 2.25%,44.64%,Normal Case
2018-02-11,59.07,2018-06-03,60.15,2017-11-19,Buy,16 Weeks,1.83%,Rise by 3.74%,46.47%,Local Extrema Case
2018-04-08,59.62,2018-10-21,56.65,2017-12-10,Buy,28 Weeks,-4.98%,Rise by 1.02%,41.49%,Local Extrema Case
2018-04-08,59.62,2018-10-21,56.65,2018-04-01,Buy,28 Weeks,-4.98%,Rise by 1.02%,36.51%,Normal Case
2018-10-07,59.17,2019-03-17,54.31,2018-09-23,Buy,23 Weeks,-8.21%,Rise by -10.5%,28.29%,Normal Case
2018-12-02,55.34,2019-03-17,54.31,2018-11-18,Buy,15 Weeks,-1.86%,Rise by -1.19%,26.43%,Normal Case
2019-06-09,54.38,2019-10-13,57.15,2019-06-02,Buy,18 Weeks,5.09%,Rise by 11.68%,31.53%,Normal Case
2019-08-25,52.79,2019-11-24,59.57,2015-12-27,Buy,13 Weeks,12.84%,Rise by 15.04%,44.37%,Tangent Case
2019-09-29,56.48,2019-12-29,59.58,2019-09-22,Buy,13 Weeks,5.49%,Rise by 7.52%,49.86%,Normal Case
2019-10-06,56.72,2019-12-29,59.58,2019-09-15,Buy,12 Weeks,5.04%,Rise by 7.07%,54.9%,Normal Case
2019-12-22,59.82,2020-02-23,56.63,2016-01-03,Buy,9 Weeks,-5.33%,Rise by -11.47%,49.57%,Tangent Case
2020-03-29,50.18,2020-06-28,55.47,2020-03-22,Buy,13 Weeks,10.54%,Rise by 13.71%,60.11%,Normal Case
2020-04-05,46.57,2020-06-28,55.47,2020-03-15,Buy,12 Weeks,19.11%,Rise by 22.53%,79.22%,Normal Case
2020-05-17,51.71,2020-10-18,58.9,2020-05-10,Buy,22 Weeks,13.9%,Rise by 34.0%,93.13%,Normal Case
2020-09-13,58.55,2020-12-13,65.95,2020-09-06,Buy,13 Weeks,12.64%,Rise by 18.34%,105.76%,Normal Case
2020-09-20,59.26,2020-12-13,65.95,2020-09-13,Buy,12 Weeks,11.29%,Rise by 16.93%,117.05%,Normal Case
2020-10-11,59.46,2020-12-13,65.95,2016-01-17,Buy,9 Weeks,10.91%,Rise by 16.53%,127.97%,Tangent Case
2020-10-25,59.3,2021-01-31,66.99,2020-10-18,Buy,14 Weeks,12.97%,Rise by 16.85%,140.94%,Normal Case
2021-01-10,69.29,2021-06-27,68.42,2021-01-03,Buy,24 Weeks,-1.26%,Rise by 5.97%,139.68%,Normal Case
2021-06-06,69.55,2021-10-03,69.93,2021-05-30,Buy,17 Weeks,0.55%,Rise by 5.58%,140.23%,Normal Case
2021-09-12,72.81,2022-09-04,52.37,2021-09-05,Buy,51 Weeks,-28.07%,Rise by -10.99%,112.15%,Normal Case
2021-09-19,73.43,2022-09-04,52.37,2021-09-12,Buy,50 Weeks,-28.68%,Rise by -11.74%,83.47%,Normal Case
2021-12-12,68.43,2022-09-04,52.37,2021-11-28,Buy,38 Weeks,-23.47%,Rise by -10.59%,60.01%,Normal Case
2022-02-13,63.96,2022-09-04,52.37,2022-02-06,Buy,29 Weeks,-18.12%,Rise by -11.02%,41.88%,Normal Case
2022-05-08,56.69,2022-09-04,52.37,2022-05-01,Buy,17 Weeks,-7.62%,Rise by 0.6%,34.26%,Normal Case
2022-05-22,57.09,2022-09-04,52.37,2022-05-15,Buy,15 Weeks,-8.27%,Rise by -0.11%,26.0%,Normal Case
