Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Spread,Actual Rise/Fall wrt Entry,Return,Cum-Return,Signal Open Price
2006-02-19,22.9,2007-09-23,27.69,Buy,414 Days,4.47,Rise by 14.15%,20.92%,20.92%,
2006-04-23,26.14,2006-06-11,25.02,Sell,34 Days,-7.1,Fall by 6.85%,4.28%,25.2%,
2008-03-30,36.65,2008-06-29,45.59,Buy,64 Days,8.0,Rise by 26.66%,24.39%,49.59%,
2009-03-22,20.92,2010-01-10,25.38,Buy,209 Days,6.79,Rise by 14.2%,21.32%,70.91%,
2011-03-20,29.72,2011-04-10,31.92,Sell,14 Days,-11.63,Fall by 3.77%,-7.4%,63.51%,
2012-04-15,28.34,2012-05-06,27.24,Sell,14 Days,-13.42,Fall by 12.77%,3.88%,67.39%,
2013-05-12,26.35,2014-10-19,22.27,Buy,374 Days,13.36,Rise by 1.18%,-15.48%,51.91%,
2013-08-25,26.57,2013-11-03,25.43,Sell,49 Days,-13.9,Fall by 2.63%,4.29%,56.2%,
2015-08-02,15.73,2015-08-23,14.81,Sell,14 Days,-19.6,Fall by 9.85%,5.85%,62.05%,
2016-01-17,12.07,2016-03-06,13.15,Sell,34 Days,-27.63,Fall by -18.97%,-8.95%,53.1%,
2016-11-20,14.67,2018-05-06,17.69,Buy,379 Days,20.08,Rise by 8.32%,20.59%,73.69%,
2018-04-15,17.3,2018-11-11,16.4,Sell,149 Days,-16.67,Fall by 0.17%,5.2%,78.89%,
2021-01-24,15.09,2021-05-09,18.73,Buy,74 Days,8.07,Rise by 15.44%,24.12%,103.01%,
2021-10-03,20.45,2021-10-17,21.68,Sell,9 Days,-12.57,Fall by 4.65%,-6.01%,97.0%,
2023-06-11,22.66,2023-06-11,22.66,Buy,0 Days,20.25,Rise by 0%,0.0%,97.0%,
2025-01-19,22.47,2025-04-06,20.95,Sell,54 Days,-15.14,Fall by 2.31%,6.76%,103.76%,
2025-07-06,22.28,2025-07-06,22.28,Buy,0 Days,11.9,Rise by 0%,0.0%,103.76%,
