Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Actual Rise/Fall wrt Entry,Return
2012-08-05,75.48,2013-06-02,81.27,Buy,214 days,Rise by -10.220000%,7.67
2013-07-14,87.15,2013-08-18,91.4,Buy,24 days,Rise by 15.850000%,4.88
2013-07-21,89.05,2013-10-13,97.88,Buy,59 days,Rise by 13.370000%,9.92
2013-07-28,89.18,2013-10-13,97.88,Buy,54 days,Rise by 13.210000%,9.76
2013-10-06,100.96,2014-10-19,92.51,Buy,269 days,Rise by -12.740000%,-8.37
2014-04-13,87.33,2014-05-11,80.32,Sell,19 days,Fall by 2.700000%,8.03
2014-04-27,81.68,2014-06-22,94.8,Sell,39 days,Fall by -4.030000%,-16.06
2014-07-20,85.84,2014-08-31,96.12,Sell,29 days,Fall by -4.920000%,-11.98
2014-09-14,98.92,2014-12-07,109.27,Buy,59 days,Rise by 10.490000%,10.46
2014-11-30,105.68,2015-06-07,109.1,Buy,134 days,Rise by 4.240000%,3.24
2015-03-01,107.68,2016-05-08,92.33,Buy,309 days,Rise by -12.240000%,-14.26
2015-04-05,100.74,2015-04-26,107.16,Sell,14 days,Fall by 14.720000%,-6.37
2015-07-26,98.53,2015-09-13,91.68,Sell,34 days,Fall by 13.380000%,6.95
2015-08-16,92.69,2015-10-18,88.65,Sell,44 days,Fall by 13.390000%,4.36
2016-01-31,91.84,2016-04-03,100.57,Buy,44 days,Rise by 9.590000%,9.51
2016-03-06,95.35,2016-04-10,100.65,Buy,24 days,Rise by 5.770000%,5.56
2016-07-31,109.62,2017-02-05,123.01,Buy,134 days,Rise by 21.150000%,12.21
2016-11-13,100.25,2017-01-01,112.2,Sell,34 days,Fall by -29.310000%,-11.92
2016-11-27,104.14,2017-01-15,115.3,Buy,34 days,Rise by 27.520000%,10.72
2017-01-01,112.2,2017-02-12,124.85,Buy,29 days,Rise by 18.360000%,11.27
2017-01-22,122.05,2017-04-09,131.18,Buy,54 days,Rise by 8.810000%,7.48
2017-03-26,132.24,2017-08-06,152.94,Buy,94 days,Rise by 16.670000%,15.65
2017-04-02,132.8,2017-08-06,152.94,Buy,89 days,Rise by 16.180000%,15.17
2017-10-01,171.2,2017-11-19,180.33,Buy,34 days,Rise by 8.860000%,5.33
2018-08-19,197.37,2018-10-07,183.79,Sell,34 days,Fall by 11.700000%,6.88
2018-11-25,163.66,2019-01-27,176.66,Sell,44 days,Fall by -14.900000%,-7.94
2019-12-15,289.89,2020-01-19,300.04,Buy,24 days,Rise by 9.110000%,3.5
2020-03-22,216.1,2020-03-29,252.62,Sell,4 days,Fall by -143.890000%,-16.9
2020-09-06,367.42,2020-11-08,406.24,Sell,44 days,Fall by -43.440000%,-10.57
2020-12-06,464.39,2021-01-24,569.45,Buy,34 days,Rise by 28.770000%,22.62
2021-01-10,508.74,2021-02-14,597.99,Buy,24 days,Rise by 31.880000%,17.54
2021-08-01,766.74,2021-09-19,859.85,Buy,34 days,Rise by 13.310000%,12.14
2021-09-05,858.11,2023-03-05,637.38,Buy,389 days,Rise by -0.110000%,-25.72
2022-01-30,644.97,2022-03-20,679.86,Sell,34 days,Fall by 12.590000%,-5.41
2022-09-04,467.19,2022-10-23,462.23,Sell,34 days,Fall by -16.950000%,1.06
2022-11-20,593.16,2023-02-05,679.62,Buy,54 days,Rise by 14.580000%,14.58
2023-02-05,679.62,2023-06-25,697.89,Buy,99 days,Rise by 0.160000%,2.69
2023-04-30,636.86,2023-05-28,735.93,Sell,19 days,Fall by 8.910000%,-15.56
2023-05-28,735.93,2024-02-18,928.94,Buy,189 days,Rise by 2.460000%,26.23
2023-06-25,697.89,2023-09-03,662.52,Sell,49 days,Fall by 10.030000%,5.07
2024-02-04,890.66,2024-03-17,940.21,Buy,29 days,Rise by 21.850000%,5.56
2024-03-10,994.33,2024-07-07,1074.48,Buy,84 days,Rise by 9.140000%,8.06
2024-07-28,888.39,2024-08-18,918.66,Sell,14 days,Fall by 10.480000%,-3.41
2024-10-27,711.7,2025-01-12,739.01,Sell,54 days,Fall by 14.910000%,-3.84
2024-11-10,669.47,2025-01-12,739.01,Sell,44 days,Fall by 9.550000%,-10.39
2025-03-16,714.0,2025-06-08,753.02,Buy,59 days,Rise by 12.320000%,5.46
2025-04-06,605.55,2025-04-27,677.27,Sell,14 days,Fall by -13.920000%,-11.84
