Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Spread,Actual Rise/Fall wrt Entry,Return,Cum-Return
2000-11-19,8.0333,2001-04-01,9.9067,Buy,94 Days,29.16,Rise by -11.93%,23.32%,23.32%
2000-12-24,7.075,2001-01-07,8.0,Sell,9 Days,-20.0,Fall by -27.33%,-13.07%,10.25%
2001-03-25,9.4833,2001-04-29,10.3683,Sell,24 Days,-19.44,Fall by -5.01%,-9.33%,0.91%
2001-09-23,9.2933,2001-09-30,10.0283,Sell,4 Days,-13.51,Fall by -27.33%,-7.91%,-6.99%
2001-11-11,11.3017,2001-12-09,12.0567,Sell,19 Days,-7.69,Fall by -4.7%,-6.68%,-13.68%
2002-05-12,12.9133,2002-07-14,12.3567,Sell,44 Days,-10.53,Fall by 1.85%,4.31%,-9.37%
2003-01-12,10.8,2003-01-26,10.2083,Sell,9 Days,-4.76,Fall by 6.6%,5.48%,-3.89%
2004-03-28,12.95,2004-04-18,13.85,Sell,14 Days,-11.11,Fall by 1.83%,-6.95%,-10.84%
2004-05-16,12.8625,2004-06-06,13.9375,Sell,14 Days,-10.53,Fall by -37.03%,-8.36%,-19.19%
2005-03-27,19.0,2005-04-17,17.7525,Sell,14 Days,-18.71,Fall by 7.0%,6.57%,-12.63%
2005-05-29,18.9925,2005-11-20,23.0475,Buy,124 Days,20.72,Rise by 6.82%,21.35%,8.72%
2005-08-21,19.965,2005-10-30,21.175,Sell,49 Days,-11.11,Fall by -13.44%,-6.06%,2.66%
2006-01-08,23.4125,2006-01-15,22.6475,Sell,4 Days,-10.87,Fall by -4.11%,3.27%,5.93%
2006-04-23,26.745,2006-04-30,25.065,Sell,4 Days,-7.1,Fall by 12.17%,6.28%,12.21%
2008-03-30,24.905,2008-11-23,21.09,Buy,169 Days,8.0,Rise by 14.11%,-15.32%,-3.11%
2009-03-22,20.84,2009-04-19,25.555,Buy,19 Days,6.79,Rise by 20.85%,22.62%,19.52%
2011-03-20,35.98,2011-04-17,34.855,Sell,19 Days,-11.63,Fall by 6.64%,3.13%,22.64%
2012-04-15,39.245,2012-04-29,42.195,Sell,9 Days,-13.42,Fall by -9.59%,-7.52%,15.13%
2013-05-12,51.23,2014-02-16,61.87,Buy,199 Days,13.36,Rise by 3.02%,20.77%,35.9%
2013-08-25,50.585,2013-10-13,54.745,Sell,34 Days,-13.9,Fall by -14.86%,-8.22%,27.67%
2015-08-02,81.59,2015-08-23,74.19,Sell,14 Days,-19.6,Fall by 13.22%,9.07%,36.74%
2016-01-17,72.42,2016-02-21,78.48,Sell,24 Days,-27.63,Fall by -4.98%,-8.37%,28.37%
2016-11-20,87.0,2017-06-04,105.86,Buy,139 Days,20.08,Rise by 7.41%,21.68%,50.05%
2018-04-15,93.76,2018-04-29,100.65,Sell,9 Days,-16.67,Fall by -14.15%,-7.35%,42.7%
2021-01-24,136.0,2021-10-24,167.5,Buy,194 Days,8.07,Rise by 9.32%,23.16%,65.87%
2021-10-03,149.09,2021-10-24,167.5,Sell,14 Days,-12.57,Fall by -8.56%,-12.35%,53.52%
2023-06-11,152.41,2025-08-03,128.04,Buy,559 Days,20.25,Rise by 3.33%,-15.99%,37.53%
2025-01-19,146.93,2025-03-16,140.3,Sell,39 Days,-15.14,Fall by 8.38%,4.51%,42.04%
2025-07-06,144.12,2025-07-06,144.12,Buy,0 Days,11.9,Rise by 0%,0.0%,42.04%
