Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Maxima Broken Date/Price,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,2007-04-30,2.1,2009-07-31,3.98,589 days,2006-08-31/1.5,89.52%,89.52%,Rise by 35.71%,89.52%
Buy,2009-08-31,4.0,2010-11-30,7.48,326 days,2009-07-31/3.98,87.00%,87.00%,Rise by 256.0%,176.52%
Buy,2011-01-31,8.2,2011-06-30,14.0,108 days,2010-11-30/7.48,70.73%,70.73%,Rise by 73.66%,247.26%
Buy,2011-07-31,14.24,2011-09-30,9.71,44 days,2011-06-30/14.0,-31.81%,-31.81%,Rise by -22.68%,215.44%
Buy,2012-07-31,14.35,2013-06-30,23.97,238 days,2011-07-31/14.24,67.04%,67.04%,Rise by 217.84%,282.48%
Buy,2013-08-31,26.01,2014-05-31,43.55,194 days,2013-06-30/23.97,67.44%,67.44%,Rise by 75.36%,349.92%
Buy,2014-06-30,43.72,2016-03-31,76.35,458 days,2014-05-31/43.55,74.63%,74.63%,Rise by 8.87%,424.55%
Buy,2016-07-31,76.99,2018-08-31,130.1,544 days,2016-03-31/76.35,68.98%,68.98%,Rise by 29.89%,493.53%
Buy,2019-03-31,137.51,2021-01-31,237.09,479 days,2018-08-31/130.1,72.42%,72.42%,Rise by 52.72%,565.95%
Buy,2021-07-31,244.37,2022-01-31,192.2,130 days,2021-01-31/237.09,-21.35%,-21.35%,Rise by -18.31%,544.60%
Buy,2022-11-30,218.5,2022-11-30,218.5,0 days,2021-11-30/206.4,0.00%,0.00%,Rise by 0%,544.60%
