Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Spread,Actual Rise/Fall wrt Entry,Return,Cum-Return,Signal Open Price
2000-11-19,19.5474,2001-09-23,13.9832,Buy,219 Days,29.16,Rise by 10.28%,-28.47%,-28.47%,
2000-12-24,18.4986,2000-12-31,19.6931,Sell,4 Days,-20.0,Fall by -1.59%,-6.46%,-34.92%,
2001-03-25,18.5977,2001-04-22,20.7884,Sell,19 Days,-19.44,Fall by 24.81%,-11.78%,-46.7%,
2001-09-23,13.9832,2001-09-30,15.568,Sell,4 Days,-13.51,Fall by -7.17%,-11.33%,-58.04%,
2001-11-11,15.8477,2001-11-18,17.246,Sell,4 Days,-7.69,Fall by -11.79%,-8.82%,-66.86%,
2002-05-12,18.4579,2002-05-19,19.6884,Sell,4 Days,-10.53,Fall by 14.47%,-6.67%,-73.53%,
2003-01-12,15.8104,2003-01-19,15.2977,Sell,4 Days,-4.76,Fall by 10.97%,3.24%,-70.28%,
2004-03-28,19.4507,2004-04-04,20.7465,Sell,4 Days,-11.11,Fall by -8.03%,-6.66%,-76.94%,
2004-05-16,22.0609,2004-06-06,23.5384,Sell,14 Days,-10.53,Fall by 4.75%,-6.7%,-83.64%,
2005-03-27,30.3856,2005-05-01,29.2483,Sell,24 Days,-18.71,Fall by 6.73%,3.74%,-79.9%,
2005-05-29,31.4343,2006-10-15,38.081,Buy,359 Days,20.72,Rise by -5.86%,21.14%,-58.75%,
2005-08-21,31.4809,2005-09-04,28.5817,Sell,9 Days,-11.11,Fall by 12.05%,9.21%,-49.54%,
2006-01-08,31.9424,2006-02-05,30.7864,Sell,19 Days,-10.87,Fall by -4.98%,3.62%,-45.93%,
2006-04-23,34.1983,2006-07-16,32.8606,Sell,59 Days,-7.1,Fall by 1.95%,3.91%,-42.01%,
2008-03-30,32.1241,2008-06-22,25.5893,Buy,59 Days,8.0,Rise by 6.73%,-20.34%,-62.36%,
2009-03-22,14.6078,2009-04-05,18.057,Buy,9 Days,6.79,Rise by 52.65%,23.61%,-38.74%,
2011-03-20,35.787,2011-04-03,33.3742,Sell,9 Days,-11.63,Fall by 10.88%,6.74%,-32.0%,
2012-04-15,37.31,2012-09-16,41.6,Sell,109 Days,-13.42,Fall by 2.2%,-11.5%,-43.5%,
2013-05-12,43.97,2014-03-02,54.23,Buy,209 Days,13.36,Rise by -11.46%,23.33%,-20.17%,
2013-08-25,41.16,2013-10-27,44.49,Sell,44 Days,-13.9,Fall by -30.9%,-8.09%,-28.26%,
2015-08-02,72.61,2015-08-23,69.33,Sell,14 Days,-19.6,Fall by 5.66%,4.52%,-23.74%,
2016-01-17,59.55,2016-02-14,63.8,Sell,19 Days,-27.63,Fall by -11.74%,-7.14%,-30.88%,
2016-11-20,77.14,2017-03-26,93.5,Buy,89 Days,20.08,Rise by 15.84%,21.21%,-9.67%,
2018-04-15,131.06,2018-05-13,139.82,Sell,19 Days,-16.67,Fall by 3.4%,-6.68%,-16.35%,
2021-01-24,122.9,2021-02-28,148.07,Buy,24 Days,8.07,Rise by 23.91%,20.48%,4.13%,
2021-10-03,155.97,2021-11-07,167.61,Sell,24 Days,-12.57,Fall by 5.47%,-7.46%,-3.34%,
2023-06-11,179.01,2023-12-17,221.14,Buy,134 Days,20.25,Rise by 16.48%,23.53%,20.2%,
2025-01-19,277.18,2025-02-09,303.97,Sell,14 Days,-15.14,Fall by 12.29%,-9.67%,10.53%,
2025-07-06,280.03,2025-07-06,280.03,Buy,0 Days,11.9,Rise by 0%,0.0%,10.53%,
