Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,2014-08-31,29.5300,2014-11-23,32.7700,59 days,10.97%,10.9719%,Rise by -11.65%,10.9719%
Buy,2015-02-01,22.6000,2015-02-15,27.6300,9 days,22.26%,22.2566%,Rise by 32.43%,33.2285%
Buy,2015-09-06,19.8000,2015-10-11,21.7600,24 days,9.90%,9.8990%,Rise by 26.21%,43.1275%
Buy,2017-06-04,23.7700,2017-07-02,26.6200,19 days,11.99%,11.9899%,Rise by 20.95%,55.1174%
Buy,2019-10-27,36.9700,2019-11-03,39.4200,4 days,6.63%,6.6270%,Rise by -11.33%,61.7444%
Buy,2019-11-24,34.9300,2020-03-15,23.2300,79 days,-33.50%,-33.4956%,Rise by -10.11%,28.2489%
Buy,2020-04-05,23.0700,2020-04-19,25.7500,9 days,11.62%,11.6168%,Rise by 71.95%,39.8657%
Buy,2021-07-25,34.2600,2021-10-24,36.4700,64 days,6.45%,6.4507%,Rise by 6.45%,46.3163%
Buy,2021-12-26,31.0000,2022-12-25,24.7300,259 days,-20.23%,-20.2258%,Rise by -14.29%,26.0905%
Buy,2024-07-28,38.6500,2024-10-20,41.1300,59 days,6.42%,6.4166%,Rise by 6.42%,32.5071%
