Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Actual Rise/Fall wrt Entry,Return
2012-09-02,164.22,2012-10-07,172.62,Buy,24 days,Rise by -12.340000%,5.12
2012-12-16,164.13,2013-02-24,152.97,Sell,49 days,Fall by 7.120000%,6.8
2012-12-30,160.54,2013-03-10,152.71,Sell,49 days,Fall by 5.050000%,4.88
2013-04-21,135.47,2013-07-07,118.09,Sell,54 days,Fall by 12.080000%,12.83
2013-07-07,118.09,2013-07-28,128.78,Sell,14 days,Fall by -3.820000%,-9.05
2014-02-16,127.15,2016-04-03,116.93,Buy,554 days,Rise by 1.280000%,-8.04
2014-05-11,124.1,2014-09-28,117.06,Sell,99 days,Fall by 9.660000%,5.67
2014-06-01,120.43,2014-10-12,117.59,Sell,94 days,Fall by 6.910000%,2.36
2015-01-18,122.52,2016-04-03,116.93,Buy,314 days,Rise by -4.070000%,-4.56
2015-03-29,115.06,2016-03-20,119.8,Buy,254 days,Rise by 2.150000%,4.12
2015-10-18,112.49,2016-03-06,120.54,Buy,99 days,Rise by 7.160000%,7.16
2016-02-14,118.36,2016-07-03,128.41,Buy,99 days,Rise by 4.470000%,8.49
2016-05-29,115.62,2016-06-26,126.0,Sell,19 days,Fall by 6.650000%,-8.98
2016-10-09,119.74,2016-12-11,110.4,Sell,44 days,Fall by 9.860000%,7.8
2017-04-16,122.6,2018-01-28,128.07,Buy,204 days,Rise by 4.380000%,4.46
2017-05-28,120.54,2017-09-10,127.97,Buy,74 days,Rise by 6.160000%,6.16
2017-07-09,115.28,2017-09-03,126.06,Sell,39 days,Fall by -4.630000%,-9.35
2017-08-20,122.3,2017-09-24,123.24,Buy,24 days,Rise by 4.720000%,0.77
2017-09-10,127.97,2019-03-24,123.97,Buy,399 days,Rise by 0.080000%,-3.13
2017-12-10,118.48,2018-01-28,128.07,Sell,34 days,Fall by -5.170000%,-8.09
2018-01-07,125.33,2019-03-24,123.97,Buy,314 days,Rise by -10.530000%,-1.09
2018-06-24,120.34,2018-07-22,116.56,Sell,19 days,Fall by 6.820000%,3.14
2018-07-01,118.65,2018-08-12,114.69,Sell,29 days,Fall by 5.500000%,3.34
2018-07-22,116.56,2018-08-26,114.16,Sell,24 days,Fall by -3.270000%,2.06
2019-06-23,131.98,2019-08-11,141.26,Buy,34 days,Rise by 9.240000%,7.03
2019-07-07,132.14,2019-08-18,142.78,Buy,29 days,Rise by 9.100000%,8.05
2019-08-18,142.78,2020-02-02,149.33,Buy,119 days,Rise by 10.340000%,4.59
2020-08-02,185.43,2022-04-10,181.47,Buy,439 days,Rise by -3.810000%,-2.14
2020-09-27,174.94,2021-03-07,159.14,Sell,114 days,Fall by 4.090000%,9.03
2020-11-01,176.2,2021-02-07,169.81,Sell,69 days,Fall by 9.680000%,3.63
2021-01-17,171.13,2021-03-14,161.49,Sell,39 days,Fall by 7.010000%,5.63
2021-03-07,159.14,2021-05-09,171.59,Sell,44 days,Fall by -3.640000%,-7.82
2021-05-30,178.38,2022-04-10,181.47,Buy,224 days,Rise by -4.100000%,1.73
2021-09-19,163.77,2022-02-20,177.12,Sell,109 days,Fall by -1.720000%,-8.15
2021-11-14,174.45,2022-03-20,179.3,Buy,89 days,Rise by 6.100000%,2.78
2021-12-26,168.97,2022-03-06,183.68,Buy,49 days,Rise by 9.540000%,8.71
2022-01-23,171.09,2022-03-13,185.09,Buy,34 days,Rise by 8.180000%,8.18
2022-02-20,177.12,2023-03-05,172.49,Buy,269 days,Rise by -10.220000%,-2.61
2022-07-10,162.3,2022-10-02,154.67,Sell,59 days,Fall by 5.740000%,4.7
2022-07-17,159.01,2022-11-06,156.47,Sell,79 days,Fall by 3.790000%,1.6
2022-08-14,167.87,2023-01-29,179.22,Buy,119 days,Rise by 6.800000%,6.76
2022-11-13,164.56,2023-01-08,173.71,Buy,39 days,Rise by 8.950000%,5.56
2023-06-25,178.2,2023-10-22,183.59,Sell,84 days,Fall by 1.610000%,-3.02
2023-08-06,180.19,2023-10-22,183.59,Sell,54 days,Fall by 5.820000%,-1.89
2023-10-22,183.59,2024-01-14,189.71,Buy,59 days,Rise by 21.830000%,3.33
2024-04-07,215.14,2024-08-04,225.34,Buy,84 days,Rise by 17.750000%,4.74
2024-09-29,245.02,2025-02-09,263.9,Buy,94 days,Rise by 29.090000%,7.71
2025-01-12,248.21,2025-02-16,266.29,Buy,24 days,Rise by 27.430000%,7.28
2025-01-19,249.27,2025-02-16,266.29,Buy,19 days,Rise by 26.890000%,6.83
