Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Spread,Actual Rise/Fall wrt Entry,Return,Cum-Return
2000-11-19,42.36,2002-05-19,52.12,Buy,389 Days,29.16,Rise by 11.14%,23.04%,23.04%
2000-12-24,43.7,2000-12-31,47.08,Sell,4 Days,-20.0,Fall by 1.05%,-7.73%,15.31%
2001-03-25,44.36,2001-04-15,42.6,Sell,14 Days,-19.44,Fall by 1.35%,3.97%,19.27%
2001-09-23,41.68,2001-09-30,46.6,Sell,4 Days,-13.51,Fall by -7.25%,-11.8%,7.47%
2001-11-11,46.3,2001-11-18,44.7,Sell,4 Days,-7.69,Fall by -5.4%,3.46%,10.93%
2002-05-12,50.3,2002-06-16,48.62,Sell,24 Days,-10.53,Fall by 11.17%,3.34%,14.27%
2003-01-12,46.82,2003-02-02,44.48,Sell,14 Days,-4.76,Fall by 13.07%,5.0%,19.26%
2004-03-28,61.18,2004-05-16,57.8,Sell,34 Days,-11.11,Fall by 5.52%,5.52%,24.79%
2004-05-16,57.8,2004-10-24,54.24,Sell,114 Days,-10.53,Fall by 2.08%,6.16%,30.95%
2005-03-27,57.9,2005-04-24,54.86,Sell,19 Days,-18.71,Fall by 4.97%,5.25%,36.2%
2005-05-29,56.8,2006-10-29,69.14,Buy,369 Days,20.72,Rise by -0.42%,21.73%,57.92%
2005-08-21,56.6,2005-09-18,54.5,Sell,19 Days,-11.11,Fall by -2.19%,3.71%,61.63%
2006-01-08,59.4,2006-02-26,57.58,Sell,34 Days,-10.87,Fall by 3.06%,3.06%,64.7%
2006-04-23,57.62,2006-05-21,61.18,Sell,19 Days,-7.1,Fall by -3.96%,-6.18%,58.52%
2008-03-30,89.04,2008-07-27,75.4,Buy,84 Days,8.0,Rise by 1.03%,-15.32%,43.2%
2009-03-22,55.06,2009-08-09,70.8,Buy,99 Days,6.79,Rise by 13.77%,28.59%,71.79%
2011-03-20,83.48,2011-04-17,80.89,Sell,19 Days,-11.63,Fall by 11.28%,3.1%,74.89%
2012-04-15,78.82,2012-07-15,84.48,Sell,64 Days,-13.42,Fall by -7.0%,-7.18%,67.71%
2013-05-12,111.82,2014-08-17,134.34,Buy,329 Days,13.36,Rise by 6.33%,20.14%,87.85%
2013-08-25,114.27,2014-03-09,122.67,Sell,139 Days,-13.9,Fall by 0.18%,-7.35%,80.5%
2015-08-02,142.74,2015-08-23,134.22,Sell,14 Days,-19.6,Fall by 9.56%,5.97%,86.47%
2016-01-17,126.14,2016-03-06,137.97,Sell,34 Days,-27.63,Fall by -10.76%,-9.38%,77.09%
2016-11-20,157.75,2017-12-03,194.56,Buy,269 Days,20.08,Rise by 4.8%,23.33%,100.42%
2018-04-15,197.0,2018-06-24,188.91,Sell,49 Days,-16.67,Fall by 5.25%,4.11%,104.53%
2021-01-24,232.92,2021-05-09,290.93,Buy,74 Days,8.07,Rise by 11.63%,24.91%,129.43%
2021-10-03,275.71,2021-12-19,293.66,Sell,54 Days,-12.57,Fall by -0.62%,-6.51%,122.92%
2023-06-11,335.29,2024-02-18,405.99,Buy,179 Days,20.25,Rise by 6.88%,21.09%,144.01%
2025-01-19,467.95,2025-03-02,513.83,Sell,29 Days,-15.14,Fall by -5.47%,-9.8%,134.2%
2025-07-06,485.0,2025-07-06,485.0,Buy,0 Days,11.9,Rise by 0%,0.0%,134.2%
