Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Sigma,Actual Rise/Fall wrt Entry,Return,Cum-Return
2020-11-04,882.9415,2021-01-27,874.5422,Buy,60 Days,-3.95,Rise by 2.66%,-0.95%,-0.95%
2020-12-02,903.6859,2021-01-27,874.5422,Buy,40 Days,-3.42,Rise by 3.51%,-3.22%,-4.18%
2021-12-02,1145.8348,2022-04-04,1229.2971,Buy,87 Days,-3.47,Rise by -0.96%,7.28%,3.11%
2022-07-01,1111.6146,2022-11-17,1199.4612,Buy,99 Days,-4.12,Rise by 3.92%,7.9%,11.01%
2023-02-01,1079.8635,2023-05-16,1132.4283,Buy,74 Days,-5.42,Rise by 0.69%,4.87%,15.88%
2023-09-01,1206.325,2023-12-13,1216.975,Buy,73 Days,-3.99,Rise by 2.57%,0.88%,16.76%
2023-10-03,1159.075,2023-12-13,1216.975,Buy,51 Days,-3.11,Rise by 1.35%,5.0%,21.76%
2024-11-04,1302.15,2025-01-22,1277.1,Buy,57 Days,-3.74,Rise by -0.5%,-1.92%,19.83%
2025-03-03,1171.25,2025-05-08,1407.0,Buy,48 Days,-3.47,Rise by 7.33%,20.13%,39.96%
2025-09-01,1353.9,2025-11-03,1484.7,Buy,45 Days,-4.33,Rise by 1.82%,9.66%,49.62%
