Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Actual Rise/Fall wrt Entry,Return
2020-07-08,24.54,2020-07-13,24.61,Sell,2 days,Fall by -3.750000%,-0.29
2020-12-22,27.08,2021-01-04,27.36,Sell,8 days,Fall by -1.400000%,-1.03
2021-03-10,28.97,2021-03-19,29.51,Buy,6 days,Rise by 3.730000%,1.86
2021-07-26,30.07,2021-10-13,30.35,Buy,56 days,Rise by -0.300000%,0.93
2021-08-31,29.54,2021-09-08,29.79,Sell,5 days,Fall by 2.740000%,-0.85
2021-09-09,29.93,2021-10-12,30.17,Buy,22 days,Rise by 3.510000%,0.8
2021-09-21,29.28,2021-09-23,29.09,Sell,1 days,Fall by -0.920000%,0.65
2021-10-05,30.08,2021-10-13,30.35,Buy,5 days,Rise by 2.990000%,0.9
2021-10-29,29.57,2021-11-02,29.87,Sell,1 days,Fall by -1.290000%,-1.01
2021-11-03,30.06,2021-11-09,30.89,Buy,3 days,Rise by 3.290000%,2.76
2021-12-14,29.49,2021-12-15,29.78,Sell,0 days,Fall by 0.340000%,-0.98
2022-02-02,29.5,2022-02-04,29.51,Sell,1 days,Fall by 2.100000%,-0.03
2022-02-03,29.23,2022-02-04,29.51,Sell,0 days,Fall by 1.200000%,-0.96
2022-02-17,28.9,2022-02-22,29.21,Sell,2 days,Fall by -10.210000%,-1.07
2022-03-01,30.63,2022-03-07,31.83,Buy,3 days,Rise by 12.410000%,3.92
2022-05-20,32.17,2022-05-23,32.47,Sell,0 days,Fall by 4.010000%,-0.93
2022-07-28,31.99,2022-08-24,33.59,Buy,18 days,Rise by 5.000000%,5.0
2022-10-20,34.9,2023-07-31,33.06,Buy,201 days,Rise by -0.720000%,-5.27
2022-10-31,35.36,2023-07-31,33.06,Buy,194 days,Rise by -2.010000%,-6.5
2022-12-07,32.98,2022-12-08,33.37,Sell,0 days,Fall by 5.790000%,-1.18
2023-02-07,31.85,2023-02-13,32.17,Buy,3 days,Rise by 6.000000%,1.0
2023-02-09,32.16,2023-02-21,33.07,Buy,7 days,Rise by 4.980000%,2.83
2023-06-26,32.33,2023-06-29,32.47,Sell,2 days,Fall by -2.290000%,-0.43
2023-07-21,33.2,2023-08-07,33.74,Buy,10 days,Rise by 1.630000%,1.63
2023-08-11,33.46,2023-08-25,33.56,Buy,9 days,Rise by 2.600000%,0.3
2023-08-30,33.17,2023-09-05,33.32,Sell,3 days,Fall by -0.420000%,-0.45
2023-10-17,34.66,2023-10-23,34.89,Buy,3 days,Rise by -5.080000%,0.66
2023-11-28,33.45,2023-11-30,33.44,Sell,1 days,Fall by 6.040000%,0.03
2024-03-25,32.29,2024-04-01,32.47,Sell,4 days,Fall by -2.070000%,-0.56
2024-03-27,32.19,2024-04-01,32.47,Sell,2 days,Fall by -2.390000%,-0.87
2024-06-04,33.19,2024-06-14,32.55,Sell,7 days,Fall by 5.360000%,1.93
2024-06-24,32.64,2024-07-01,33.0,Sell,4 days,Fall by 3.770000%,-1.1
2024-11-26,32.79,2024-12-10,32.88,Sell,9 days,Fall by -0.270000%,-0.27
2024-12-17,33.02,2025-01-07,33.29,Sell,14 days,Fall by -0.360000%,-0.82
2025-02-06,33.14,2025-02-11,33.43,Sell,2 days,Fall by 1.900000%,-0.88
2025-02-24,33.04,2025-02-28,32.72,Sell,3 days,Fall by 1.360000%,0.97
2025-04-04,31.77,2025-04-08,32.26,Sell,1 days,Fall by -3.050000%,-1.54
2025-05-05,32.65,2025-05-14,33.31,Buy,6 days,Rise by 1.680000%,2.02
