Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Maxima Broken Date/Price,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,1996-01-31,1.26,1996-10-31,2.04,196 days,1995-12-31/1.2243,61.41%,61.41%,Rise by 86.13%,61.41%
Buy,1996-11-30,2.26,1998-01-31,1.74,304 days,1996-10-31/2.0384,-22.97%,-22.97%,Rise by -10.0%,38.43%
Buy,1999-06-30,1.78,2000-05-31,2.91,240 days,1999-04-30/1.7507,63.80%,63.80%,Rise by 63.8%,102.23%
Buy,2000-09-30,3.09,2001-09-30,2.37,259 days,2000-08-31/2.9077,-23.09%,-23.09%,Rise by -14.09%,79.14%
Buy,2003-05-31,3.26,2004-07-31,5.42,304 days,2002-04-30/3.1832,66.35%,66.35%,Rise by 92.78%,145.49%
Buy,2004-09-30,6.18,2005-06-30,10.87,195 days,2004-07-31/5.4175,75.84%,75.84%,Rise by 38.79%,221.33%
Buy,2005-07-31,12.49,2008-04-30,20.95,717 days,2005-06-30/10.8717,67.74%,67.74%,Rise by 38.43%,289.08%
Buy,2008-05-31,23.81,2008-09-30,17.87,86 days,2008-04-30/20.9476,-24.93%,-24.93%,Rise by -37.45%,264.15%
Buy,2009-12-31,18.61,2012-05-31,14.52,630 days,2009-09-30/17.7032,-21.95%,-21.95%,Rise by 28.76%,242.20%
Buy,2013-10-31,16.2,2015-09-30,12.73,499 days,2013-03-31/15.95,-21.46%,-21.46%,Rise by 48.17%,220.74%
Buy,2016-05-31,19.08,2020-03-31,9.43,1000 days,2015-05-31/18.7953,-50.60%,-50.60%,Rise by 16.32%,170.14%
Buy,2021-02-28,17.0,2022-01-31,31.66,240 days,2020-02-29/16.9197,86.29%,86.29%,Rise by 141.17%,256.43%
Buy,2022-02-28,34.68,2022-02-28,34.68,0 days,2022-01-31/31.665,0.00%,0.00%,Rise by 0%,256.43%
