Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Spread,Actual Rise/Fall wrt Entry,Return,Cum-Return
2006-05-07,13.995,2006-06-11,11.192,Buy,24 Days,12.33,Rise by -20.03%,-20.03%,-20.03%
2006-05-21,12.6,2006-06-04,12.175,Sell,9 Days,-4.25,Fall by 17.83%,3.37%,-16.66%
2008-03-30,17.75,2008-08-17,12.7,Buy,99 Days,8.0,Rise by 1.53%,-28.45%,-45.11%
2009-03-22,13.61,2009-09-13,16.5,Buy,124 Days,6.79,Rise by 13.67%,21.23%,-23.87%
2011-03-20,34.27,2011-03-27,36.39,Sell,4 Days,-11.63,Fall by 0.26%,-6.19%,-30.06%
2012-04-15,30.55,2012-05-06,29.41,Sell,14 Days,-13.42,Fall by 9.59%,3.73%,-26.33%
2013-05-12,22.98,2013-06-23,19.39,Buy,29 Days,13.36,Rise by -15.62%,-15.62%,-41.95%
2013-08-25,23.15,2013-09-15,21.42,Sell,14 Days,-13.9,Fall by 11.36%,7.47%,-34.48%
2015-08-02,14.08,2015-10-11,15.12,Sell,49 Days,-19.6,Fall by 1.14%,-7.39%,-41.86%
2016-01-17,13.24,2016-02-07,14.34,Sell,14 Days,-27.63,Fall by -16.24%,-8.31%,-50.17%
2016-11-20,15.73,2018-09-09,13.32,Buy,469 Days,20.08,Rise by 10.62%,-15.32%,-65.49%
2018-04-15,15.68,2018-07-01,15.15,Sell,54 Days,-16.67,Fall by 1.53%,3.38%,-62.11%
2021-01-24,23.66,2022-05-15,19.42,Buy,339 Days,8.07,Rise by 9.47%,-17.92%,-80.03%
2021-10-03,20.83,2021-10-24,22.54,Sell,14 Days,-12.57,Fall by 1.58%,-8.21%,-88.24%
2023-06-11,22.27,2024-05-19,28.79,Buy,244 Days,20.25,Rise by 2.65%,29.28%,-58.96%
2025-01-19,27.61,2025-02-16,29.31,Sell,19 Days,-15.14,Fall by 1.92%,-6.16%,-65.12%
2025-07-06,33.51,2025-09-28,41.86,Buy,59 Days,11.9,Rise by 31.33%,24.92%,-40.2%
