Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Actual Rise/Fall wrt Entry,Return,Signal Open Price
2012-05-06,12.4,2012-06-10,13.75,Buy,24 days,Rise by 12.930000%,10.89,
2012-05-20,13.0,2012-07-01,13.39,Buy,29 days,Rise by 14.620000%,2.98,
2012-11-11,17.64,2012-12-16,19.87,Buy,24 days,Rise by 43.960000%,12.62,
2013-07-14,25.17,2013-10-13,26.49,Buy,64 days,Rise by 13.480000%,5.26,
2014-02-02,26.06,2014-03-23,30.75,Sell,34 days,Fall by -4.300000%,-18.0,
2014-09-21,29.66,2014-11-16,35.59,Buy,39 days,Rise by 19.990000%,19.99,
2014-11-02,32.73,2014-12-14,34.63,Buy,29 days,Rise by 22.210000%,5.81,
2015-03-22,39.94,2015-05-24,46.7,Buy,44 days,Rise by 16.930000%,16.93,
2015-04-26,41.08,2015-05-31,44.73,Buy,24 days,Rise by 11.900000%,8.89,
2015-05-03,43.29,2015-06-07,43.96,Buy,24 days,Rise by 6.190000%,1.55,
2015-05-10,43.52,2015-11-22,49.7,Buy,139 days,Rise by 5.630000%,14.2,
2015-05-24,46.7,2015-11-29,51.04,Buy,134 days,Rise by -1.560000%,9.29,
2015-09-20,43.96,2015-11-01,48.12,Sell,29 days,Fall by 3.710000%,-9.46,
2016-01-17,46.65,2016-02-14,45.35,Sell,19 days,Fall by 3.370000%,2.79,
2016-10-09,44.11,2017-01-22,38.78,Sell,74 days,Fall by 12.080000%,12.08,
2016-10-30,47.5,2017-10-29,49.99,Buy,259 days,Rise by -10.110000%,5.24,
2016-11-13,41.83,2017-02-12,40.75,Sell,64 days,Fall by 7.290000%,2.58,
2016-12-18,42.7,2017-02-12,40.75,Sell,39 days,Fall by 8.880000%,4.57,
2018-10-14,42.47,2018-12-09,38.3,Sell,39 days,Fall by 11.090000%,9.82,
2018-12-09,38.3,2019-01-13,41.36,Sell,24 days,Fall by 0.500000%,-7.99,
2019-03-24,42.74,2019-04-28,45.56,Buy,24 days,Rise by 7.000000%,6.6,
2019-04-07,45.41,2019-07-14,46.87,Buy,69 days,Rise by 5.880000%,3.22,
2019-05-19,45.73,2020-09-20,44.89,Buy,349 days,Rise by -11.900000%,-1.84,
2019-06-23,48.08,2020-09-20,44.89,Buy,324 days,Rise by -18.840000%,-6.63,
2019-07-28,42.35,2019-09-01,39.19,Sell,24 days,Fall by 12.180000%,7.46,
2020-03-08,33.61,2020-03-29,29.5,Sell,14 days,Fall by -30.680000%,12.23,
2020-05-17,32.37,2020-06-07,35.69,Sell,14 days,Fall by -35.680000%,-10.26,
2020-07-12,36.74,2020-08-16,45.52,Buy,24 days,Rise by 29.970000%,23.9,
2020-07-26,38.42,2020-08-30,46.13,Buy,24 days,Rise by 24.280000%,20.07,
2021-03-14,49.38,2021-04-25,52.72,Buy,29 days,Rise by -10.670000%,6.76,
2021-05-09,51.29,2021-06-13,46.15,Sell,24 days,Fall by 11.870000%,10.02,
2021-05-30,46.24,2021-07-18,43.04,Sell,34 days,Fall by 7.740000%,6.92,
2021-11-21,42.25,2021-12-26,39.79,Sell,24 days,Fall by 10.180000%,5.82,
2022-04-03,37.0,2022-05-29,35.68,Sell,39 days,Fall by 12.570000%,3.57,
2022-06-26,31.28,2022-07-24,35.91,Sell,19 days,Fall by -51.760000%,-14.8,
2022-07-31,38.01,2022-09-11,41.2,Buy,29 days,Rise by 28.860000%,8.39,
2022-11-20,46.62,2023-01-01,48.52,Buy,29 days,Rise by 7.610000%,4.08,
2023-06-18,64.54,2023-07-30,67.02,Buy,29 days,Rise by 28.650000%,3.84,
2024-05-19,82.94,2024-07-07,88.0,Buy,34 days,Rise by 15.640000%,6.1,
2025-03-16,67.54,2025-05-11,73.62,Sell,39 days,Fall by -13.980000%,-9.0,
