Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Maxima Broken Date/Price,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,1982-10-31,9.08,1985-12-31,15.12,826 days,1981-06-30/8.5556,66.51%,66.51%,Rise by 34.56%,66.51%
Buy,1986-02-28,16.0,1987-09-30,12.71,413 days,1985-12-31/15.125,-20.57%,-20.57%,Rise by -11.98%,45.94%
Buy,1988-11-30,11.12,1990-01-31,8.58,305 days,1988-08-31/10.6667,-22.85%,-22.85%,Rise by 22.47%,23.09%
Buy,1991-07-31,8.54,1993-07-31,13.75,522 days,1990-07-31/7.6667,60.97%,60.97%,Rise by -17.07%,84.07%
Buy,1993-09-30,15.0,1994-04-30,11.58,151 days,1993-07-31/13.75,-22.78%,-22.78%,Rise by -17.22%,61.29%
Buy,1995-02-28,13.38,1996-01-31,22.33,241 days,1995-01-31/13.0,66.98%,66.98%,Rise by 51.71%,128.27%
Buy,1996-02-29,23.88,1997-09-30,39.33,413 days,1996-01-31/22.3333,64.75%,64.75%,Rise by 31.94%,193.02%
Buy,1998-02-28,41.35,1998-09-30,28.75,152 days,1997-09-30/39.3333,-30.48%,-30.48%,Rise by 21.91%,162.54%
Buy,1999-01-31,51.29,2000-11-30,36.88,478 days,1998-07-31/50.4167,-28.11%,-28.11%,Rise by 12.43%,134.43%
Buy,2003-06-30,34.18,2009-01-31,25.51,1459 days,2002-06-30/33.92,-25.37%,-25.37%,Rise by 22.73%,109.06%
Buy,2010-03-31,44.75,2011-09-30,30.12,392 days,2009-09-30/43.82,-32.69%,-32.69%,Rise by -18.75%,76.37%
Buy,2013-01-31,47.05,2016-11-30,80.17,999 days,2012-03-31/45.98,70.39%,70.39%,Rise by 18.45%,146.77%
Buy,2016-12-31,86.29,2019-12-31,139.4,781 days,2016-11-30/80.17,61.55%,61.55%,Rise by 34.05%,208.31%
Buy,2021-02-28,147.17,2022-06-30,112.61,348 days,2019-12-31/139.4,-23.48%,-23.48%,Rise by 15.44%,184.83%
Buy,2023-02-28,143.35,2024-11-30,249.72,458 days,2022-02-28/141.8,74.20%,74.20%,Rise by 10.19%,259.03%
Buy,2025-01-31,267.3,2025-01-31,267.3,0 days,2024-11-30/249.72,0.00%,0.00%,Rise by 0%,259.03%
