Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Spread,Actual Rise/Fall wrt Entry,Return,Cum-Return,Signal Open Price
2010-08-22,50.12,2010-09-19,53.64,Sell,19 Days,-12.36,Fall by -37.51%,-7.02%,-7.02%,
2010-09-12,52.02,2010-12-26,63.72,Buy,74 Days,12.26,Rise by 16.46%,22.49%,15.47%,
2011-03-20,69.0,2011-05-08,65.46,Sell,34 Days,-11.63,Fall by 5.48%,5.13%,20.6%,
2012-04-15,61.26,2012-05-13,58.52,Sell,19 Days,-13.42,Fall by 9.42%,4.47%,25.07%,
2013-05-12,54.49,2015-01-25,45.89,Buy,444 Days,13.36,Rise by 2.24%,-15.78%,9.29%,
2013-08-25,56.7,2014-05-11,60.11,Sell,184 Days,-13.9,Fall by 2.96%,-6.01%,3.27%,
2015-08-02,43.76,2015-08-23,42.37,Sell,14 Days,-19.6,Fall by 4.34%,3.18%,6.45%,
2016-01-17,38.46,2016-03-13,41.06,Sell,39 Days,-27.63,Fall by -9.8%,-6.76%,-0.31%,
2016-11-20,40.85,2019-08-25,34.69,Buy,719 Days,20.08,Rise by -3.87%,-15.08%,-15.39%,
2018-04-15,43.25,2018-07-22,41.61,Sell,69 Days,-16.67,Fall by -0.58%,3.79%,-11.6%,
2021-01-24,32.9,2021-05-09,40.95,Buy,74 Days,8.07,Rise by 12.16%,24.47%,12.87%,
2021-10-03,41.43,2021-10-17,44.13,Sell,9 Days,-12.57,Fall by 2.1%,-6.52%,6.35%,
2023-06-11,53.68,2024-11-24,65.0,Buy,379 Days,20.25,Rise by 9.13%,21.09%,27.44%,
2025-01-19,69.17,2025-06-15,74.83,Sell,104 Days,-15.14,Fall by 0.65%,-8.18%,19.26%,
2025-07-06,73.64,2025-07-06,73.64,Buy,0 Days,11.9,Rise by 0%,0.0%,19.26%,
