Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Maxima Broken Date/Price,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,1997-09-30,8.53,1998-08-31,6.38,239 days,1997-07-31/8.0781,-25.27%,-25.27%,Rise by 33.88%,-25.27%
Buy,1999-03-31,11.48,2002-09-30,8.8,913 days,1998-04-30/11.4219,-23.33%,-23.33%,Rise by -15.1%,-48.61%
Buy,2003-05-31,12.87,2004-12-31,20.84,414 days,2002-05-31/12.65,61.93%,61.93%,Rise by 36.56%,13.32%
Buy,2005-05-31,21.26,2007-05-31,34.54,522 days,2004-12-31/20.84,62.43%,62.43%,Rise by 35.06%,75.75%
Buy,2007-09-30,38.34,2008-07-31,30.38,218 days,2007-05-31/34.54,-20.76%,-20.76%,Rise by -12.58%,54.99%
Buy,2009-08-31,30.84,2014-05-31,49.59,1239 days,2008-09-30/30.495,60.80%,60.80%,Rise by 20.91%,115.78%
Buy,2014-06-30,51.41,2015-01-31,39.83,154 days,2014-05-31/49.59,-22.52%,-22.52%,Rise by -22.52%,93.26%
Buy,2016-08-31,44.6,2021-05-31,72.1,1238 days,2016-04-30/44.5,61.66%,61.66%,Rise by 16.08%,154.92%
Buy,2021-10-31,72.51,2023-05-31,56.6,412 days,2021-05-31/72.1,-21.94%,-21.94%,Rise by -10.4%,132.98%
Buy,2025-04-30,63.78,2025-04-30,63.78,0 days,2024-09-30/63.26,0.00%,0.00%,Rise by 0%,132.98%
