Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Spread,Actual Rise/Fall wrt Entry,Return,Cum-Return
2004-10-17,17.4667,2005-08-14,21.65,Buy,214 Days,16.47,Rise by 7.63%,23.95%,23.95%
2005-03-27,18.3033,2005-07-24,20.2033,Sell,84 Days,-18.71,Fall by 1.71%,-10.38%,13.57%
2005-05-29,18.14,2006-01-08,22.0133,Buy,159 Days,20.72,Rise by 19.35%,21.35%,34.92%
2005-08-21,20.8633,2005-10-16,19.8667,Sell,39 Days,-11.11,Fall by 8.72%,4.78%,39.7%
2006-01-08,22.0133,2006-01-29,23.96,Sell,14 Days,-10.87,Fall by -6.12%,-8.84%,30.86%
2006-04-23,27.2133,2006-04-30,26.2,Sell,4 Days,-7.1,Fall by 14.16%,3.72%,34.58%
2008-03-30,45.63,2008-09-14,37.43,Buy,119 Days,8.0,Rise by 19.54%,-17.97%,16.61%
2009-03-22,26.42,2009-04-12,31.85,Buy,14 Days,6.79,Rise by 35.92%,20.55%,37.16%
2011-03-20,41.68,2011-04-03,45.49,Sell,9 Days,-11.63,Fall by -3.65%,-9.14%,28.02%
2012-04-15,37.42,2012-05-13,35.33,Sell,19 Days,-13.42,Fall by 11.81%,5.59%,33.6%
2013-05-12,38.42,2013-06-30,32.52,Buy,34 Days,13.36,Rise by -11.56%,-15.36%,18.25%
2013-08-25,35.66,2013-09-15,38.2,Sell,14 Days,-13.9,Fall by -2.16%,-7.12%,11.13%
2015-08-02,40.48,2015-08-23,36.56,Sell,14 Days,-19.6,Fall by 17.05%,9.68%,20.81%
2016-01-17,29.8,2016-03-06,32.99,Sell,34 Days,-27.63,Fall by -4.83%,-10.7%,10.1%
2016-11-20,35.94,2017-08-27,44.21,Buy,199 Days,20.08,Rise by 7.23%,23.01%,33.12%
2018-04-15,47.6,2018-06-24,44.2,Sell,49 Days,-16.67,Fall by 11.05%,7.14%,40.26%
2021-01-24,51.71,2021-07-25,42.78,Buy,129 Days,8.07,Rise by -10.02%,-17.27%,22.99%
2021-10-03,38.62,2021-10-24,42.2,Sell,14 Days,-12.57,Fall by 5.9%,-9.27%,13.72%
2023-06-11,27.82,2023-12-24,23.05,Buy,139 Days,20.25,Rise by 8.12%,-17.15%,-3.43%
2025-01-19,30.41,2025-02-09,32.73,Sell,14 Days,-15.14,Fall by -6.54%,-7.63%,-11.06%
2025-07-06,36.27,2025-07-06,36.27,Buy,0 Days,11.9,Rise by 0%,0.0%,-11.06%
