Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Maxima Broken Date/Price,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,1999-04-30,19.52,1999-09-30,15.24,109 days,1999-02-28/16.7799,-21.94%,-21.94%,Rise by -21.94%,-21.94%
Buy,2000-07-31,18.53,2001-10-31,14.6,327 days,2000-05-31/16.8964,-21.18%,-21.18%,Rise by 16.13%,-43.12%
Buy,2003-07-31,19.16,2005-03-31,31.16,435 days,2003-05-31/18.2248,62.68%,62.68%,Rise by 12.41%,19.55%
Buy,2005-05-31,31.48,2008-06-30,24.46,804 days,2005-03-31/31.164,-22.30%,-22.30%,Rise by -11.73%,-2.74%
Buy,2009-09-30,25.93,2013-03-31,42.23,912 days,2008-09-30/24.3215,62.89%,62.89%,Rise by 33.64%,60.14%
Buy,2013-04-30,43.06,2014-08-31,69.4,348 days,2013-03-31/42.23,61.17%,61.17%,Rise by 82.98%,121.31%
Buy,2014-09-30,69.9,2017-10-31,119.48,805 days,2014-08-31/69.4,70.93%,70.93%,Rise by 18.88%,192.24%
Buy,2017-11-30,127.0,2020-03-31,74.81,608 days,2017-10-31/119.48,-41.09%,-41.09%,Rise by -14.52%,151.15%
Buy,2021-02-28,148.07,2024-01-31,239.73,762 days,2020-12-31/131.92,61.90%,61.90%,Rise by 19.89%,213.05%
Buy,2024-02-29,249.87,2024-02-29,249.87,0 days,2024-01-31/239.73,0.00%,0.00%,Rise by 0%,213.05%
