Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Spread,Actual Rise/Fall wrt Entry,Return,Cum-Return
2006-06-04,4.699,2006-06-18,4.502,Sell,9 Days,-19.23,Fall by 6.47%,4.19%,4.19%
2006-09-03,5.655,2006-10-01,7.035,Buy,19 Days,15.73,Rise by 32.89%,24.4%,28.6%
2008-03-30,21.76,2008-05-04,28.504,Buy,24 Days,8.0,Rise by 31.82%,30.99%,59.59%
2009-03-22,15.553,2009-08-02,19.403,Buy,94 Days,6.79,Rise by 19.0%,24.75%,84.34%
2011-03-20,24.168,2011-04-10,26.306,Sell,14 Days,-11.63,Fall by -10.1%,-8.85%,75.5%
2012-04-15,44.046,2012-05-13,42.24,Sell,19 Days,-13.42,Fall by 10.42%,4.1%,79.6%
2013-05-12,55.513,2013-09-15,66.641,Buy,89 Days,13.36,Rise by 7.88%,20.05%,99.64%
2013-08-25,62.611,2013-09-01,60.608,Sell,4 Days,-13.9,Fall by -20.87%,3.2%,102.84%
2015-08-02,97.4,2015-08-23,90.68,Sell,14 Days,-19.6,Fall by 7.05%,6.9%,109.74%
2016-01-17,88.71,2016-02-07,82.76,Sell,14 Days,-27.63,Fall by 0.17%,6.71%,116.45%
2016-11-20,104.78,2017-07-16,127.01,Buy,169 Days,20.08,Rise by 4.94%,21.22%,137.66%
2018-04-15,174.27,2018-05-06,188.17,Sell,14 Days,-16.67,Fall by -13.46%,-7.98%,129.69%
2021-01-24,328.99,2023-07-16,402.51,Buy,644 Days,8.07,Rise by 16.33%,22.35%,152.03%
2021-10-03,360.18,2021-10-31,335.52,Sell,19 Days,-12.57,Fall by 10.57%,6.85%,158.88%
2023-06-11,369.22,2024-02-04,460.58,Buy,169 Days,20.25,Rise by 9.02%,24.74%,183.63%
2025-01-19,524.7,2025-02-09,562.75,Sell,14 Days,-15.14,Fall by -0.56%,-7.25%,176.37%
2025-07-06,569.24,2025-07-06,569.24,Buy,0 Days,11.9,Rise by 0%,0.0%,176.37%
