Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Spread,Actual Rise/Fall wrt Entry,Return,Cum-Return,Signal Open Price
2000-11-19,1.34,2001-03-25,1.01,Buy,89 Days,29.16,Rise by -10.45%,-24.63%,-24.63%,
2000-12-24,1.29,2001-01-28,1.25,Sell,24 Days,-20.0,Fall by 3.1%,3.1%,-21.53%,
2001-03-25,1.01,2001-04-01,1.09,Sell,4 Days,-19.44,Fall by -3.96%,-7.92%,-29.45%,
2001-09-23,1.11,2001-10-07,1.25,Sell,9 Days,-13.51,Fall by -33.33%,-12.61%,-42.06%,
2001-11-11,1.33,2001-11-18,1.49,Sell,4 Days,-7.69,Fall by -11.28%,-12.03%,-54.09%,
2002-05-12,1.31,2002-06-30,1.39,Sell,34 Days,-10.53,Fall by 4.58%,-6.11%,-60.2%,
2003-01-12,1.12,2003-02-16,1.05,Sell,24 Days,-4.76,Fall by 6.25%,6.25%,-53.95%,
2004-03-28,1.76,2004-04-25,1.9,Sell,19 Days,-11.11,Fall by -2.27%,-7.95%,-61.9%,
2004-05-16,1.87,2004-06-06,1.8,Sell,14 Days,-10.53,Fall by -5.35%,3.74%,-58.16%,
2005-03-27,2.46,2005-04-03,2.62,Sell,4 Days,-18.71,Fall by 10.57%,-6.5%,-64.66%,
2005-05-29,2.44,2005-08-07,3.1,Buy,49 Days,20.72,Rise by 18.85%,27.05%,-37.61%,
2005-08-21,3.2,2005-08-28,3.4,Sell,4 Days,-11.11,Fall by 2.81%,-6.25%,-43.86%,
2006-01-08,3.65,2006-02-26,4.16,Sell,34 Days,-10.87,Fall by -26.03%,-13.97%,-57.84%,
2006-04-23,4.85,2006-05-07,4.6,Sell,9 Days,-7.1,Fall by -38.76%,5.15%,-52.68%,
2008-03-30,5.95,2008-06-01,7.18,Buy,44 Days,8.0,Rise by 18.15%,20.67%,-32.01%,
2009-03-22,3.95,2009-05-10,4.86,Buy,34 Days,6.79,Rise by 24.05%,23.04%,-8.97%,
2011-03-20,8.75,2011-04-10,9.33,Sell,14 Days,-11.63,Fall by -10.86%,-6.63%,-15.6%,
2012-04-15,9.48,2012-05-20,9.12,Sell,24 Days,-13.42,Fall by 3.8%,3.8%,-11.8%,
2013-05-12,10.6,2014-01-26,12.87,Buy,184 Days,13.36,Rise by 5.0%,21.42%,9.61%,
2013-08-25,10.29,2013-09-22,11.18,Sell,19 Days,-13.9,Fall by -29.74%,-8.65%,0.96%,
2015-08-02,15.25,2015-08-23,14.7,Sell,14 Days,-19.6,Fall by 3.61%,3.61%,4.57%,
2016-01-17,15.2,2016-02-14,14.68,Sell,19 Days,-27.63,Fall by 4.8%,3.42%,7.99%,
2016-11-20,19.0,2017-04-09,23.05,Buy,99 Days,20.08,Rise by 13.16%,21.32%,29.31%,
2018-04-15,24.7,2018-06-03,27.0,Sell,34 Days,-16.67,Fall by -9.92%,-9.31%,20.0%,
2021-01-24,68.6,2021-08-08,84.8,Buy,139 Days,8.07,Rise by -0.15%,23.62%,43.61%,
2021-10-03,95.9,2021-10-10,92.83,Sell,4 Days,-12.57,Fall by 12.41%,3.2%,46.81%,
2023-06-11,70.0,2023-10-29,57.01,Buy,99 Days,20.25,Rise by -12.69%,-18.56%,28.26%,
2025-01-19,71.41,2025-02-23,69.0,Sell,24 Days,-15.14,Fall by 11.5%,3.37%,31.63%,
2025-07-06,66.8,2025-07-06,66.8,Buy,0 Days,11.9,Rise by 0%,0.0%,31.63%,
