Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Spread,Actual Rise/Fall wrt Entry,Return,Cum-Return
2000-11-19,2.6873,2001-11-18,2.2527,Buy,259 Days,29.16,Rise by -13.44%,-16.17%,-16.17%
2000-12-24,2.3262,2000-12-31,2.5404,Sell,4 Days,-20.0,Fall by -16.97%,-9.21%,-25.38%
2001-03-25,2.8036,2001-04-29,2.975,Sell,24 Days,-19.44,Fall by 3.93%,-6.11%,-31.49%
2001-09-23,2.478,2001-09-30,2.3727,Sell,4 Days,-13.51,Fall by 9.09%,4.25%,-27.24%
2001-11-11,2.6218,2001-11-18,2.2527,Sell,4 Days,-7.69,Fall by 14.12%,14.08%,-13.17%
2002-05-12,3.1954,2002-05-19,3.0362,Sell,4 Days,-10.53,Fall by 7.28%,4.98%,-8.18%
2003-01-12,2.8557,2003-03-02,3.1311,Sell,34 Days,-4.76,Fall by -2.36%,-9.64%,-17.83%
2004-03-28,4.3279,2004-04-04,4.6039,Sell,4 Days,-11.11,Fall by -0.42%,-6.38%,-24.21%
2004-05-16,4.8543,2004-05-23,4.5948,Sell,4 Days,-10.53,Fall by -19.17%,5.35%,-18.86%
2005-03-27,8.2333,2005-04-17,7.6457,Sell,14 Days,-18.71,Fall by 7.21%,7.14%,-11.72%
2005-05-29,9.0206,2005-06-19,11.0676,Buy,14 Days,20.72,Rise by 57.3%,22.69%,10.97%
2005-08-21,13.095,2005-09-04,14.4589,Sell,9 Days,-11.11,Fall by 13.14%,-10.42%,0.55%
2006-01-08,14.8139,2006-01-22,16.1606,Sell,9 Days,-10.87,Fall by 4.13%,-9.09%,-8.54%
2006-04-23,17.6175,2006-04-30,16.4545,Sell,4 Days,-7.1,Fall by 17.51%,6.6%,-1.94%
2008-03-30,17.2723,2008-04-20,20.8546,Buy,14 Days,8.0,Rise by 44.4%,20.74%,18.8%
2009-03-22,11.9172,2009-04-26,14.5544,Buy,24 Days,6.79,Rise by 30.35%,22.13%,40.93%
2011-03-20,23.4133,2011-04-17,21.3663,Sell,19 Days,-11.63,Fall by 11.52%,8.74%,49.68%
2012-04-15,15.6268,2012-05-20,14.667,Sell,24 Days,-13.42,Fall by 10.5%,6.14%,55.82%
2013-05-12,14.6474,2014-01-12,17.7228,Buy,174 Days,13.36,Rise by 14.84%,21.0%,76.82%
2013-08-25,15.2449,2013-10-13,16.3075,Sell,34 Days,-13.9,Fall by -27.72%,-6.97%,69.85%
2015-08-02,15.6317,2015-08-16,14.9363,Sell,9 Days,-19.6,Fall by 14.03%,4.45%,74.29%
2016-01-17,11.9687,2016-01-24,12.762,Sell,4 Days,-27.63,Fall by -66.2%,-6.63%,67.67%
2016-11-20,21.1019,2017-07-09,17.7914,Buy,164 Days,20.08,Rise by -12.44%,-15.69%,51.98%
2018-04-15,21.6944,2018-05-20,23.5847,Sell,24 Days,-16.67,Fall by 7.16%,-8.71%,43.26%
2021-01-24,15.1616,2021-03-07,19.236,Buy,29 Days,8.07,Rise by 29.85%,26.87%,70.14%
2021-10-03,22.762,2021-10-10,24.2997,Sell,4 Days,-12.57,Fall by -9.85%,-6.76%,63.38%
2023-06-11,37.635,2023-10-15,45.595,Buy,89 Days,20.25,Rise by 17.7%,21.15%,84.53%
2025-01-19,45.01,2025-02-09,43.42,Sell,14 Days,-15.14,Fall by 9.49%,3.53%,88.06%
2025-07-06,43.77,2025-07-06,43.77,Buy,0 Days,11.9,Rise by 0%,0.0%,88.06%
