Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Maxima Broken Date/Price,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit,Signal Open Price
Buy,2013-03-31,11.4,2013-10-06,18.85,134 days,2012-09-16/10.52,65.35%,65.35%,Rise by 25.61%,65.35%,
Buy,2014-09-14,20.32,2014-10-12,15.92,19 days,2014-03-23/20.2,-21.65%,-21.65%,Rise by -10.31%,43.70%,
Buy,2016-04-24,14.21,2017-10-29,22.9,394 days,2015-11-08/14.095,61.15%,61.15%,Rise by -10.63%,104.86%,
Buy,2018-07-15,21.47,2018-12-23,16.62,114 days,2018-01-28/21.26,-22.59%,-22.59%,Rise by 15.86%,82.27%,
Buy,2019-04-14,25.88,2019-09-29,19.4,119 days,2018-09-30/24.875,-25.02%,-25.02%,Rise by -10.34%,57.24%,
Buy,2020-06-21,25.58,2021-01-24,42.55,154 days,2020-02-23/25.15,66.34%,66.34%,Rise by 33.11%,123.58%,
Buy,2023-01-29,24.05,2023-03-12,19.23,29 days,2022-11-13/24.03,-20.04%,-20.04%,Rise by -24.91%,103.54%,
Buy,2023-07-16,24.85,2023-11-12,19.2,84 days,2023-02-05/24.1,-22.74%,-22.74%,Rise by -10.66%,80.81%,
Buy,2024-02-11,26.76,2025-04-06,20.95,299 days,2023-07-30/25.39,-21.71%,-21.71%,Rise by -10.58%,59.09%,
Buy,2025-06-29,35.26,2025-09-14,61.15,54 days,2025-01-26/33.55,73.43%,73.43%,Rise by 149.29%,132.52%,
