Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Spread,Actual Rise/Fall wrt Entry,Return,Cum-Return,Signal Open Price
2013-12-01,25.85,2014-03-16,21.8,Buy,74 Days,19.05,Rise by -11.37%,-15.67%,-15.67%,
2015-08-02,39.5,2015-08-23,34.87,Sell,14 Days,-19.6,Fall by 23.77%,11.72%,-3.95%,
2016-01-17,22.67,2016-02-07,21.64,Sell,14 Days,-27.63,Fall by -0.57%,4.54%,0.6%,
2016-11-20,24.83,2017-09-10,29.86,Buy,209 Days,20.08,Rise by 0.32%,20.26%,20.86%,
2018-04-15,30.69,2018-04-22,29.65,Sell,4 Days,-16.67,Fall by 13.55%,3.39%,24.24%,
2021-01-24,42.81,2022-01-30,35.97,Buy,264 Days,8.07,Rise by -10.18%,-15.98%,8.27%,
2021-10-03,37.76,2021-12-12,40.32,Sell,49 Days,-12.57,Fall by -1.17%,-6.78%,1.49%,
2023-06-11,26.85,2024-01-14,22.61,Buy,154 Days,20.25,Rise by 6.74%,-15.79%,-14.3%,
2025-01-19,25.93,2025-03-16,27.91,Sell,39 Days,-15.14,Fall by 2.78%,-7.64%,-21.94%,
2025-07-06,27.74,2025-07-06,27.74,Buy,0 Days,11.9,Rise by 0%,0.0%,-21.94%,
