Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Spread,Actual Rise/Fall wrt Entry,Return,Cum-Return
2004-12-05,45.6,2006-01-15,55.44,Buy,289 Days,31.35,Rise by -2.57%,21.58%,21.58%
2005-03-27,42.39,2005-09-18,45.82,Sell,124 Days,-18.71,Fall by 1.75%,-8.09%,13.49%
2005-05-29,41.88,2005-12-04,50.32,Buy,134 Days,20.72,Rise by 6.23%,20.15%,33.64%
2005-08-21,43.6,2005-09-25,46.28,Sell,24 Days,-11.11,Fall by -4.38%,-6.15%,27.49%
2006-01-08,53.72,2006-04-02,58.1,Sell,59 Days,-10.87,Fall by -0.2%,-8.15%,19.34%
2006-04-23,63.2,2006-05-07,67.99,Sell,9 Days,-7.1,Fall by 8.73%,-7.58%,11.76%
2008-03-30,91.88,2008-08-17,77.63,Buy,99 Days,8.0,Rise by -0.71%,-15.51%,-3.75%
2009-03-22,93.59,2009-11-22,112.94,Buy,174 Days,6.79,Rise by 2.79%,20.68%,16.93%
2011-03-20,138.37,2011-04-24,146.74,Sell,24 Days,-11.63,Fall by -4.74%,-6.05%,10.88%
2012-04-15,160.85,2012-05-13,153.56,Sell,19 Days,-13.42,Fall by 5.08%,4.53%,15.41%
2013-05-12,139.6,2013-07-07,118.09,Buy,39 Days,13.36,Rise by -10.42%,-15.41%,0.0%
2013-08-25,134.9,2013-09-15,127.82,Sell,14 Days,-13.9,Fall by 9.12%,5.25%,5.25%
2015-08-02,104.93,2015-10-18,112.49,Sell,54 Days,-19.6,Fall by 3.51%,-7.2%,-1.95%
2016-01-17,104.08,2016-02-07,112.32,Sell,14 Days,-27.63,Fall by -11.77%,-7.92%,-9.87%
2016-11-20,115.15,2019-08-11,141.26,Buy,709 Days,20.08,Rise by 3.95%,22.67%,12.8%
2018-04-15,127.45,2018-05-20,122.41,Sell,24 Days,-16.67,Fall by 3.95%,3.95%,16.76%
2021-01-24,173.9,2024-04-07,215.14,Buy,834 Days,8.07,Rise by 2.58%,23.71%,40.47%
2021-10-03,164.59,2022-02-20,177.12,Sell,99 Days,-12.57,Fall by -1.21%,-7.61%,32.86%
2023-06-11,182.04,2024-04-21,221.03,Buy,224 Days,20.25,Rise by 0.08%,21.42%,54.28%
2025-01-19,249.27,2025-02-16,266.29,Sell,19 Days,-15.14,Fall by -18.04%,-6.83%,47.45%
2025-07-06,307.14,2025-10-12,369.12,Buy,69 Days,11.9,Rise by 1.92%,20.18%,67.63%
