Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Spread,Actual Rise/Fall wrt Entry,Return,Cum-Return
2000-11-19,0.575,2001-12-09,0.4625,Buy,274 Days,29.16,Rise by 6.52%,-19.57%,-19.57%
2000-12-24,0.5675,2001-01-14,0.6125,Sell,14 Days,-20.0,Fall by -0.44%,-7.93%,-27.49%
2001-03-25,0.625,2001-04-08,0.5875,Sell,9 Days,-19.44,Fall by 9.6%,6.0%,-21.49%
2001-09-23,0.5375,2001-09-30,0.5875,Sell,4 Days,-13.51,Fall by 2.33%,-9.3%,-30.8%
2001-11-11,0.5275,2001-12-09,0.4625,Sell,19 Days,-7.69,Fall by 14.69%,12.32%,-18.47%
2002-05-12,0.525,2002-06-09,0.5875,Sell,19 Days,-10.53,Fall by -9.52%,-11.9%,-30.38%
2003-01-12,0.675,2003-01-26,0.65,Sell,9 Days,-4.76,Fall by 4.81%,3.7%,-26.68%
2004-03-28,1.1,2004-04-11,1.05,Sell,9 Days,-11.11,Fall by 4.55%,4.55%,-22.13%
2004-05-16,1.05,2004-06-06,1.0,Sell,14 Days,-10.53,Fall by -4.76%,4.76%,-17.37%
2005-03-27,1.65,2005-04-03,1.75,Sell,4 Days,-18.71,Fall by -29.55%,-6.06%,-23.43%
2005-05-29,2.3125,2005-11-06,2.875,Buy,114 Days,20.72,Rise by 10.81%,24.32%,0.9%
2005-08-21,2.4975,2005-09-11,2.6625,Sell,14 Days,-11.11,Fall by -1.1%,-6.61%,-5.71%
2006-01-08,3.45,2006-02-19,3.7875,Sell,29 Days,-10.87,Fall by -40.22%,-9.78%,-15.49%
2006-04-23,4.875,2006-05-07,5.375,Sell,9 Days,-7.1,Fall by 5.64%,-10.26%,-25.75%
2008-03-30,8.7475,2008-08-10,7.235,Buy,94 Days,8.0,Rise by 8.32%,-17.29%,-43.04%
2009-03-22,4.6875,2009-05-10,5.75,Buy,34 Days,6.79,Rise by 28.21%,22.67%,-20.37%
2011-03-20,10.1,2011-04-17,9.4375,Sell,19 Days,-11.63,Fall by 6.76%,6.56%,-13.81%
2012-04-15,10.75,2012-05-06,12.3975,Sell,14 Days,-13.42,Fall by -53.72%,-15.33%,-29.14%
2013-05-12,22.47,2013-10-06,27.3725,Buy,104 Days,13.36,Rise by 13.05%,21.82%,-7.32%
2013-08-25,24.8925,2013-10-06,27.3725,Sell,29 Days,-13.9,Fall by -4.69%,-9.96%,-17.29%
2015-08-02,44.39,2015-08-09,42.88,Sell,4 Days,-19.6,Fall by 3.15%,3.4%,-13.88%
2016-01-17,46.65,2016-01-24,44.0,Sell,4 Days,-27.63,Fall by -1.37%,5.68%,-8.2%
2016-11-20,43.74,2019-11-03,36.7,Buy,769 Days,20.08,Rise by -11.34%,-16.1%,-24.3%
2018-04-15,45.48,2018-08-12,44.07,Sell,84 Days,-16.67,Fall by 3.1%,3.1%,-21.2%
2021-01-24,46.34,2021-12-19,39.0,Buy,234 Days,8.07,Rise by 14.44%,-15.84%,-37.04%
2021-10-03,41.82,2021-10-24,45.85,Sell,14 Days,-12.57,Fall by 3.35%,-9.64%,-46.67%
2023-06-11,63.79,2023-11-12,83.03,Buy,109 Days,20.25,Rise by 6.76%,30.16%,-16.51%
2025-01-19,70.8,2025-02-16,68.46,Sell,19 Days,-15.14,Fall by 7.13%,3.31%,-13.21%
2025-07-06,78.82,2025-07-06,78.82,Buy,0 Days,11.9,Rise by 0%,0.0%,-13.21%
