Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Maxima Broken Date/Price,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit,Signal Open Price
Buy,1979-06-30,0.86,1980-03-31,0.61,195 days,1977-06-30/0.8182,-28.95%,-28.95%,Rise by -28.95%,-28.95%,
Buy,1980-06-30,0.93,1981-03-31,1.67,196 days,1979-06-30/0.8636,79.28%,79.28%,Rise by 100.0%,50.33%,
Buy,1981-06-30,1.86,1982-03-31,1.24,196 days,1981-03-31/1.6705,-33.54%,-33.54%,Rise by -33.54%,16.79%,
Buy,1984-03-31,1.51,1987-06-30,2.6,846 days,1983-09-30/1.4318,72.18%,72.18%,Rise by -15.79%,88.97%,
Buy,1987-09-30,3.44,1989-09-30,5.57,522 days,1987-06-30/2.6023,61.72%,61.72%,Rise by 52.81%,150.68%,
Buy,1993-09-30,4.26,1997-03-31,6.91,912 days,1991-09-30/4.05,62.17%,62.17%,Rise by 42.52%,212.85%,
Buy,1997-06-30,8.8,1998-09-30,6.87,327 days,1997-03-31/6.9125,-21.95%,-21.95%,Rise by -21.95%,190.91%,
Buy,1999-06-30,11.04,1999-12-31,28.48,132 days,1997-09-30/9.3938,157.98%,157.98%,Rise by -39.84%,348.89%,
Buy,2006-03-31,9.21,2008-09-30,6.17,652 days,2004-03-31/8.362,-32.99%,-32.99%,Rise by -5.06%,315.90%,
Buy,2013-09-30,4.3,2014-06-30,3.35,195 days,2013-06-30/4.238,-22.07%,-22.07%,Rise by -22.07%,293.83%,
Buy,2015-03-31,5.36,2017-12-31,8.99,718 days,2013-09-30/4.304,67.85%,67.85%,Rise by 42.61%,361.68%,
Buy,2018-03-31,9.67,2020-12-31,20.22,718 days,2017-12-31/8.99,109.14%,109.14%,Rise by -12.62%,470.82%,
Buy,2021-03-31,21.2,2022-06-30,16.35,326 days,2020-12-31/20.22,-22.87%,-22.87%,Rise by 19.23%,447.95%,
Buy,2024-09-30,19.31,2024-09-30,19.31,0 days,2023-12-31/18.938,0.00%,0.00%,Rise by 0%,447.95%,
