Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Spread,Actual Rise/Fall wrt Entry,Return,Cum-Return
2005-07-17,3.22,2005-09-18,4.15,Buy,44 Days,43.85,Rise by 43.17%,28.88%,28.88%
2005-08-21,3.65,2005-08-28,3.5,Sell,4 Days,-11.11,Fall by -144.38%,4.11%,32.99%
2006-01-08,6.05,2006-01-22,5.74,Sell,9 Days,-10.87,Fall by -33.88%,5.12%,38.12%
2006-04-23,10.9,2006-05-14,10.0,Sell,14 Days,-7.1,Fall by 17.89%,8.26%,46.37%
2008-03-30,16.11,2008-05-04,13.27,Buy,24 Days,8.0,Rise by -17.63%,-17.63%,28.74%
2009-03-22,8.3,2009-05-31,10.52,Buy,49 Days,6.79,Rise by 26.75%,26.75%,55.49%
2011-03-20,39.91,2011-03-27,43.8,Sell,4 Days,-11.63,Fall by 10.25%,-9.75%,45.74%
2012-04-15,31.16,2012-04-22,29.34,Sell,4 Days,-13.42,Fall by 20.96%,5.84%,51.58%
2013-05-12,24.32,2013-06-23,20.37,Buy,29 Days,13.36,Rise by -16.24%,-16.24%,35.34%
2013-08-25,27.7,2013-09-01,26.35,Sell,4 Days,-13.9,Fall by 14.3%,4.87%,40.22%
2015-08-02,13.08,2015-08-30,12.39,Sell,19 Days,-19.6,Fall by 12.84%,5.28%,45.49%
2016-01-17,11.15,2016-01-24,10.58,Sell,4 Days,-27.63,Fall by -63.23%,5.11%,50.6%
2016-11-20,18.72,2018-07-08,22.68,Buy,424 Days,20.08,Rise by 19.07%,21.15%,71.76%
2018-04-15,21.24,2018-07-08,22.68,Sell,59 Days,-16.67,Fall by 13.23%,-6.78%,64.98%
2021-01-24,40.42,2022-04-03,48.87,Buy,309 Days,8.07,Rise by -11.58%,20.91%,85.88%
2021-10-03,36.97,2021-10-17,41.01,Sell,9 Days,-12.57,Fall by -7.79%,-10.93%,74.96%
2023-06-11,44.86,2024-04-28,54.0,Buy,229 Days,20.25,Rise by 0.87%,20.37%,95.33%
2025-01-19,57.77,2025-02-02,62.47,Sell,9 Days,-15.14,Fall by -35.88%,-8.14%,87.19%
2025-07-06,90.56,2025-09-28,109.04,Buy,59 Days,11.9,Rise by 11.19%,20.41%,107.6%
