Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,2012-01-15,1.2821,2012-02-05,1.3137,14 days,2.46%,2.4647%,Rise by 1.93%,2.4647%
Buy,2012-06-10,1.2571,2012-09-16,1.2994,69 days,3.36%,3.3649%,Rise by 3.96%,5.8296%
Buy,2014-09-21,1.2920,2014-11-09,1.2380,34 days,-4.18%,-4.1796%,Rise by -12.17%,1.6500%
Buy,2014-11-16,1.2476,2015-01-11,1.1796,39 days,-5.45%,-5.4505%,Rise by -10.19%,-3.8004%
Buy,2015-02-08,1.1472,2015-03-15,1.0626,24 days,-7.37%,-7.3745%,Rise by -0.58%,-11.1749%
Buy,2015-03-29,1.0886,2015-05-03,1.1215,24 days,3.02%,3.0222%,Rise by 4.77%,-8.1527%
Buy,2016-12-25,1.0438,2017-01-15,1.0617,14 days,1.71%,1.7149%,Rise by 3.31%,-6.4378%
Buy,2018-06-03,1.1693,2019-03-10,1.1198,199 days,-4.23%,-4.2333%,Rise by 0.71%,-10.6711%
Buy,2021-12-12,1.1293,2022-01-16,1.1457,24 days,1.45%,1.4522%,Rise by -11.22%,-9.2189%
Buy,2022-04-24,1.0835,2022-07-10,1.0170,54 days,-6.14%,-6.1375%,Rise by -10.0%,-15.3564%
Buy,2022-07-24,1.0221,2022-12-04,1.0528,94 days,3.00%,3.0036%,Rise by 6.69%,-12.3528%
