Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Actual Rise/Fall wrt Entry,Return,Signal Open Price
2020-02-26,80.67,2020-03-09,70.83,Sell,7 days,Fall by 15.330000%,12.2,
2020-05-13,73.62,2020-05-20,77.76,Sell,4 days,Fall by 1.430000%,-5.62,
2020-08-28,85.0,2020-09-17,86.75,Buy,13 days,Rise by 3.980000%,2.06,
2021-02-23,101.37,2021-02-26,108.03,Sell,2 days,Fall by -3.550000%,-6.57,
2021-06-02,113.0,2021-06-08,111.52,Sell,3 days,Fall by 2.920000%,1.31,
2021-06-16,111.36,2021-07-06,115.73,Sell,13 days,Fall by -2.660000%,-3.92,
2021-08-04,118.25,2021-08-16,117.54,Sell,7 days,Fall by 3.320000%,0.6,
2021-08-10,116.39,2021-08-24,115.08,Sell,9 days,Fall by 1.780000%,1.13,
2021-09-13,119.18,2021-09-20,111.82,Sell,4 days,Fall by 7.440000%,6.18,
2021-09-16,114.67,2021-10-01,112.92,Sell,10 days,Fall by 3.800000%,1.53,
2021-11-24,113.97,2021-12-10,116.73,Buy,11 days,Rise by 2.420000%,2.42,
2021-12-27,114.22,2022-01-03,116.68,Buy,4 days,Rise by -10.350000%,2.15,
2022-01-14,100.12,2022-01-21,96.31,Sell,4 days,Fall by 10.460000%,3.81,
2022-03-14,79.29,2022-03-16,87.41,Sell,1 days,Fall by 11.640000%,-10.24,
2022-06-03,79.05,2022-07-21,83.54,Buy,33 days,Rise by 0.590000%,5.68,
2022-07-05,79.52,2022-07-21,83.54,Buy,11 days,Rise by 12.420000%,5.06,
2022-10-05,90.12,2022-11-11,97.38,Buy,26 days,Rise by 16.570000%,8.06,
2022-10-20,86.79,2022-11-04,91.86,Sell,10 days,Fall by -12.640000%,-5.84,
2023-01-27,109.02,2023-05-02,114.46,Buy,66 days,Rise by 5.080000%,4.99,
2023-02-23,103.51,2023-03-01,101.43,Sell,3 days,Fall by 4.990000%,2.01,
2023-05-22,102.9,2023-05-26,98.53,Sell,3 days,Fall by 6.660000%,4.25,
2023-05-23,100.34,2023-05-31,97.64,Sell,5 days,Fall by 4.280000%,2.69,
2023-06-13,99.26,2023-06-21,101.87,Buy,5 days,Rise by 3.690000%,2.63,
2023-10-12,91.42,2023-11-02,100.01,Sell,14 days,Fall by 0.080000%,-9.4,
2023-10-27,92.02,2023-11-02,100.01,Sell,3 days,Fall by -3.830000%,-8.68,
2023-11-01,91.35,2023-11-02,100.01,Sell,0 days,Fall by -4.590000%,-9.48,
2024-01-30,94.08,2024-08-19,92.3,Buy,143 days,Rise by -1.570000%,-1.89,
2024-04-05,86.85,2024-04-16,85.42,Sell,6 days,Fall by 14.290000%,1.65,
2024-09-10,93.34,2024-09-16,96.31,Buy,3 days,Rise by 4.450000%,3.18,
2024-12-17,92.09,2024-12-24,89.91,Sell,4 days,Fall by -3.940000%,2.37,
2025-03-24,95.72,2025-04-08,79.69,Sell,10 days,Fall by 16.420000%,16.75,
2025-04-04,82.1,2025-04-09,88.68,Sell,2 days,Fall by 2.500000%,-8.01,
2025-07-29,92.96,2025-08-06,88.99,Sell,5 days,Fall by 7.690000%,4.27,
2025-07-31,89.16,2025-08-08,92.12,Sell,5 days,Fall by 3.760000%,-3.32,
2025-09-02,89.78,2025-09-02,89.78,Buy,0 days,Rise by -3.410000%,0.0,
2025-09-09,83.81,2025-10-02,86.72,Sell,16 days,Fall by 6.380000%,-3.47,
2025-10-17,85.36,2025-10-17,85.36,Buy,0 days,Rise by -5.260000%,0.0,
