Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,2011-09-04,51.7300,2012-02-26,55.1500,124 days,6.61%,6.6113%,Rise by 6.8%,6.6113%
Buy,2014-10-26,62.2300,2014-11-30,63.9900,24 days,2.83%,2.8282%,Rise by 9.95%,9.4395%
Buy,2015-01-18,60.7900,2015-02-15,63.8200,19 days,4.98%,4.9844%,Rise by 12.55%,14.4238%
Buy,2015-09-13,59.4400,2015-10-25,62.0600,29 days,4.41%,4.4078%,Rise by -10.4%,18.8316%
Buy,2016-01-31,55.4800,2016-04-17,58.3000,54 days,5.08%,5.0829%,Rise by 7.32%,23.9146%
Buy,2018-11-04,63.3500,2019-04-07,66.2500,109 days,4.58%,4.5777%,Rise by 5.75%,28.4923%
Buy,2020-03-29,52.8600,2020-05-31,59.6400,44 days,12.83%,12.8263%,Rise by 20.73%,41.3186%
Buy,2022-05-22,67.7700,2022-09-25,56.7600,89 days,-16.25%,-16.2461%,Rise by -1.49%,25.0725%
Buy,2022-10-16,56.0100,2022-10-30,59.8700,9 days,6.89%,6.8916%,Rise by 20.91%,31.9641%
Buy,2025-01-12,75.0600,2025-01-26,79.2300,9 days,5.56%,5.5556%,Rise by 12.48%,37.5197%
