Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Maxima Broken Date/Price,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,2010-12-05,0.37,2011-01-30,0.59,39 days,2010-05-09/0.349,60.67%,60.67%,Rise by 73.57%,60.67%
Buy,2012-02-05,0.4,2012-05-06,0.31,64 days,2011-10-16/0.393,-22.50%,-22.50%,Rise by -10.49%,38.17%
Buy,2013-04-28,0.34,2015-02-15,0.56,469 days,2012-09-30/0.3335,66.38%,66.38%,Rise by 17.84%,104.55%
Buy,2015-08-16,0.59,2016-05-15,1.02,194 days,2015-03-22/0.5867,74.09%,74.09%,Rise by 43.38%,178.63%
Buy,2016-09-25,1.62,2016-12-25,2.74,64 days,2016-08-14/1.576,69.03%,69.03%,Rise by 69.03%,247.66%
Buy,2017-01-29,2.79,2017-09-17,4.5,164 days,2016-12-25/2.7445,61.14%,61.14%,Rise by -10.24%,308.80%
Buy,2018-01-14,5.57,2018-11-18,4.11,219 days,2017-11-26/5.424,-26.26%,-26.26%,Rise by 12.33%,282.54%
Buy,2019-10-27,5.11,2020-05-17,8.49,144 days,2019-04-07/4.7737,66.05%,66.05%,Rise by 43.77%,348.59%
Buy,2020-06-21,9.26,2021-02-14,14.96,169 days,2020-05-24/9.0262,61.55%,61.55%,Rise by 41.97%,410.14%
Buy,2021-04-18,15.91,2021-10-31,25.57,139 days,2021-02-14/14.9613,60.67%,60.67%,Rise by 28.75%,470.81%
Buy,2023-01-29,20.36,2023-05-28,38.95,84 days,2022-08-07/18.989,91.24%,91.24%,Rise by 36.4%,562.05%
Buy,2023-07-16,45.47,2024-02-25,78.82,159 days,2023-06-18/42.692,73.34%,73.34%,Rise by 6.69%,635.39%
Buy,2024-05-26,106.47,2025-07-20,172.41,299 days,2024-03-24/94.289,61.93%,61.93%,Rise by 21.51%,697.33%
Buy,2025-10-05,187.62,2025-10-05,187.62,0 days,2025-08-10/182.7,0.00%,0.00%,Rise by 0%,697.33%
