Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Maxima Broken Date/Price,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,2001-06-30,0.39,2001-09-30,0.23,64 days,2000-09-30/0.3411,-40.78%,-40.78%,Rise by -62.95%,-40.78%
Buy,2001-12-31,0.56,2002-03-31,0.37,64 days,2001-06-30/0.3865,-33.69%,-33.69%,Rise by -87.21%,-74.46%
Buy,2005-06-30,0.22,2006-03-31,0.48,196 days,2004-03-31/0.22,114.28%,114.28%,Rise by 306.83%,39.82%
Buy,2006-09-30,0.49,2007-09-30,0.91,259 days,2006-03-31/0.4772,83.70%,83.70%,Rise by 83.7%,123.52%
Buy,2013-09-30,0.39,2015-12-31,0.82,588 days,2012-03-31/0.385,111.83%,111.83%,Rise by 111.83%,235.34%
Buy,2016-03-31,0.89,2016-09-30,1.71,131 days,2015-12-31/0.824,92.32%,92.32%,Rise by 564.93%,327.66%
Buy,2016-12-31,2.67,2017-09-30,4.47,194 days,2016-09-30/1.713,67.48%,67.48%,Rise by 68.22%,395.14%
Buy,2017-12-31,4.84,2018-12-31,3.34,260 days,2017-09-30/4.4693,-31.01%,-31.01%,Rise by 45.23%,364.14%
Buy,2020-06-30,9.5,2021-06-30,20.0,261 days,2018-09-30/7.0255,110.60%,110.60%,Rise by 209.66%,474.74%
Buy,2021-09-30,20.72,2022-06-30,15.16,195 days,2021-06-30/20.0025,-26.82%,-26.82%,Rise by -26.82%,447.91%
Buy,2023-06-30,42.3,2024-03-31,90.36,195 days,2021-12-31/29.411,113.60%,113.60%,Rise by 341.07%,561.51%
Buy,2024-06-30,123.54,2025-11-03,202.49,350 days,2024-03-31/90.356,63.91%,63.91%,Rise by -12.27%,625.42%
