Entry Date,Entry Price,Exit Date,Exit Price,Retracement Upmove Date,Retracement Upmove Price,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return,Signal Open Price
2007-03-18,7.3,2012-11-11,10.46,2005-11-13-2006-12-10,3.19-8.15,Buy,1474 days,43.29%,Rise by 16.54%,43.29%,
2007-09-02,7.07,2007-09-09,7.15,2006-12-10-2007-05-20,7.15-7.9,Sell,4 days,-1.13%,Fall by 14.13%,42.16%,
2007-09-30,6.7,2007-10-21,7.04,2005-11-13-2006-12-10,3.19-8.15,Sell,14 days,-5.07%,Fall by 12.78%,37.08%,
2007-12-02,7.15,2007-12-16,6.8,2006-12-10-2007-10-07,6.95-7.9,Sell,9 days,4.9%,Fall by 12.65%,41.98%,
2008-04-06,6.3,2008-04-13,6.25,2007-08-05-2008-01-27,6.1-7.4,Sell,4 days,0.79%,Fall by -2.4%,42.77%,
2008-07-13,6.4,2008-07-27,6.55,2006-12-10-2008-01-27,6.1-7.9,Sell,9 days,-2.34%,Fall by 19.08%,40.43%,
2008-10-12,5.3,2008-10-26,5.7,2008-01-27-2008-06-08,5.45-7.45,Sell,9 days,-7.55%,Fall by 20.18%,32.88%,
2009-06-21,4.45,2009-06-28,4.3,2007-08-05-2009-03-08,3.48-7.4,Sell,4 days,3.37%,Fall by -29.07%,36.25%,
2009-11-29,5.55,2010-03-14,6.18,2006-12-10-2009-03-08,3.48-7.9,Sell,74 days,-11.35%,Fall by 2.75%,24.9%,
2010-01-31,5.71,2010-04-04,6.39,2008-06-08-2009-03-08,3.48-7.13,Sell,44 days,-11.91%,Fall by 5.95%,12.99%,
2010-06-13,6.11,2010-06-13,6.11,2009-03-08-2010-02-14,3.28-6.7,Buy,0 days,0.0%,Rise by 0%,12.99%,
2011-10-09,9.94,2011-12-04,10.43,2008-01-27-2011-08-07,5.45-10.75,Buy,39 days,4.93%,Rise by -2.21%,17.92%,
2012-02-19,9.44,2012-05-06,9.87,2008-01-27-2011-08-07,5.45-10.75,Sell,54 days,-4.56%,Fall by 5.78%,13.36%,
2012-03-04,9.59,2012-11-11,10.46,2009-03-08-2011-08-07,3.28-10.75,Buy,179 days,9.07%,Rise by 16.54%,22.44%,
2012-06-03,9.86,2012-10-28,10.7,2005-11-13-2011-08-07,3.19-10.75,Buy,104 days,8.52%,Rise by 13.93%,30.96%,
2012-07-15,9.48,2012-08-05,9.3,2011-08-07-2011-10-30,9.73-10.3,Sell,14 days,1.9%,Fall by -4.3%,32.85%,
2012-11-11,10.46,2012-12-02,11.2,2011-11-13-2012-05-20,9.55-9.9,Sell,14 days,-7.07%,Fall by 13.39%,25.78%,
2013-03-10,11.95,2013-03-24,10.9,2011-11-13-2012-08-12,9.4-9.9,Sell,9 days,8.79%,Fall by 11.01%,34.57%,
2013-04-14,11.0,2014-04-13,13.0,2012-08-12-2013-02-03,9.05-12.2,Buy,259 days,18.18%,Rise by 16.38%,52.75%,
2013-05-05,10.2,2013-05-26,9.7,2008-01-27-2013-02-03,5.45-12.2,Sell,14 days,4.9%,Fall by -5.15%,57.65%,
2013-05-19,10.2,2014-04-20,13.22,2009-03-08-2013-02-03,3.28-12.2,Buy,239 days,29.61%,Rise by 14.45%,87.26%,
2013-05-26,9.7,2013-06-30,10.7,2009-03-08-2013-02-03,3.28-12.2,Sell,24 days,-10.31%,Fall by 4.67%,76.95%,
2013-12-22,11.6,2014-01-26,12.87,2013-02-03-2013-06-02,10.35-11.66,Sell,24 days,-10.95%,Fall by -14.22%,66.0%,
2015-04-19,15.28,2018-08-19,28.15,2013-06-02-2015-02-22,9.21-16.35,Buy,869 days,84.23%,Rise by 10.3%,150.23%,
2015-07-26,15.22,2018-03-04,23.9,2012-08-12-2015-02-22,9.05-16.35,Buy,679 days,57.03%,Rise by 19.08%,207.26%,
2015-08-30,14.19,2015-09-13,15.06,2013-06-02-2015-02-22,9.21-16.35,Sell,9 days,-6.13%,Fall by 3.92%,201.13%,
2015-09-13,15.06,2016-07-10,16.31,2008-01-27-2015-02-22,5.45-16.35,Buy,214 days,8.3%,Rise by 31.88%,209.43%,
2015-10-25,15.25,2016-02-07,15.16,2015-02-22-2015-08-30,14.45-15.85,Sell,74 days,0.59%,Fall by -5.54%,210.02%,
2016-04-17,16.24,2016-07-17,16.5,2015-06-14-2015-08-30,14.45-15.92,Sell,64 days,-1.6%,Fall by -40.0%,208.42%,
2016-07-10,16.31,2016-07-17,16.5,2015-11-15-2016-02-28,14.69-15.0,Sell,4 days,-1.16%,Fall by -40.0%,207.25%,
2020-03-01,37.5,2020-03-15,32.7,2019-07-28-2019-10-13,39.45-40.36,Sell,9 days,12.8%,Fall by -108.29%,220.05%,
2020-03-15,32.7,2020-03-22,27.34,2015-08-30-2019-07-28,14.04-43.0,Sell,4 days,16.39%,Fall by -140.67%,236.44%,
2020-03-22,27.34,2020-03-29,33.01,2008-01-27-2020-01-26,5.45-43.99,Sell,4 days,-20.74%,Fall by -106.03%,215.7%,
2020-04-12,35.6,2021-05-30,75.51,2009-03-08-2020-01-26,3.28-43.99,Buy,294 days,112.11%,Rise by 27.0%,327.81%,
2020-04-26,35.9,2020-05-31,39.79,2013-06-02-2020-01-26,9.21-43.99,Sell,24 days,-10.84%,Fall by -91.76%,316.98%,
2020-10-04,46.0,2020-10-18,53.9,2019-07-28-2020-03-29,35.25-40.36,Sell,9 days,-17.17%,Fall by -76.25%,299.8%,
2022-02-13,84.01,2022-02-13,84.01,2020-03-29-2021-09-05,24.0-99.78,Buy,0 days,0.0%,Rise by 0%,299.8%,
2022-02-27,78.0,2022-05-15,72.24,2020-03-29-2021-09-05,24.0-99.78,Sell,54 days,7.38%,Fall by 7.97%,307.19%,
2022-03-13,76.0,2022-03-13,76.0,2009-03-08-2021-09-05,3.28-99.78,Buy,0 days,0.0%,Rise by 0%,307.19%,
2022-05-15,72.24,2022-06-05,81.55,2009-03-08-2021-09-05,3.28-99.78,Sell,14 days,-12.89%,Fall by 13.55%,294.3%,
2022-07-10,71.0,2022-07-10,71.0,2015-08-30-2021-09-05,14.04-99.78,Buy,0 days,0.0%,Rise by 0%,294.3%,
2023-03-19,69.25,2023-03-19,69.25,2021-09-05-2022-10-23,70.15-92.42,Sell,0 days,-0.0%,Fall by 0%,294.3%,
2024-03-10,68.17,2024-07-14,76.95,2021-09-05-2023-11-05,61.58-92.42,Sell,89 days,-12.88%,Fall by 8.73%,281.42%,
2024-03-31,69.7,2024-03-31,69.7,2023-11-05-2024-02-04,55.37-71.93,Buy,0 days,0.0%,Rise by 0%,281.42%,
2024-09-01,73.0,2024-10-06,71.5,2023-02-12-2023-11-05,61.58-73.85,Sell,24 days,2.05%,Fall by 11.61%,283.47%,
2024-10-06,71.5,2025-01-26,71.12,2023-11-05-2024-07-28,55.37-77.6,Buy,79 days,-0.53%,Rise by -11.14%,282.94%,
2025-04-27,57.71,2025-04-27,57.71,2023-11-05-2024-07-28,55.37-77.6,Sell,0 days,-0.0%,Fall by 0%,282.94%,
2025-10-12,60.68,2025-10-12,60.68,2025-06-08-2025-08-03,66.9-66.01,Sell,0 days,-0.0%,Fall by 0%,282.94%,
