Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Spread,Actual Rise/Fall wrt Entry,Return,Cum-Return
2010-01-17,4.51,2010-01-24,3.77,Buy,4 Days,20.52,Rise by -16.98%,-16.41%,-16.41%
2010-02-07,3.518,2010-02-14,3.752,Sell,4 Days,-13.85,Fall by 5.4%,-6.65%,-23.06%
2011-03-20,4.948,2011-04-10,5.324,Sell,14 Days,-11.63,Fall by 1.37%,-7.6%,-30.66%
2012-04-15,5.8,2012-05-06,6.178,Sell,14 Days,-13.42,Fall by 6.03%,-6.52%,-37.18%
2013-05-12,7.084,2013-07-21,8.596,Buy,49 Days,13.36,Rise by 33.12%,21.34%,-15.83%
2013-08-25,9.22,2013-09-08,10.02,Sell,9 Days,-13.9,Fall by -13.02%,-8.68%,-24.51%
2015-08-02,18.61,2015-08-23,16.6,Sell,14 Days,-19.6,Fall by 13.49%,10.8%,-13.71%
2016-01-17,17.09,2016-01-24,18.12,Sell,4 Days,-27.63,Fall by -15.92%,-6.03%,-19.73%
2016-11-20,25.23,2017-04-23,30.48,Buy,109 Days,20.08,Rise by 8.32%,20.81%,1.07%
2018-04-15,51.64,2018-04-29,49.48,Sell,9 Days,-16.67,Fall by 12.39%,4.18%,5.26%
2021-01-24,90.35,2021-05-16,76.57,Buy,79 Days,8.07,Rise by -10.37%,-15.25%,-10.0%
2021-10-03,58.82,2021-10-10,63.19,Sell,4 Days,-12.57,Fall by 0.39%,-7.43%,-17.42%
2023-06-11,42.63,2024-01-21,35.21,Buy,159 Days,20.25,Rise by 7.81%,-17.41%,-34.83%
2025-01-19,49.34,2025-02-02,53.02,Sell,9 Days,-15.14,Fall by -16.34%,-7.46%,-42.29%
2025-07-06,63.57,2025-08-24,77.88,Buy,34 Days,11.9,Rise by 22.51%,22.51%,-19.78%
