Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Spread,Actual Rise/Fall wrt Entry,Return,Cum-Return
2000-11-19,24.25,2002-06-02,29.3,Buy,399 Days,29.16,Rise by 5.57%,20.82%,20.82%
2000-12-24,24.7,2001-02-25,22.875,Sell,44 Days,-20.0,Fall by 0.3%,7.39%,28.21%
2001-03-25,23.225,2001-04-22,22.225,Sell,19 Days,-19.44,Fall by 4.41%,4.31%,32.52%
2001-09-23,22.11,2001-09-30,24.075,Sell,4 Days,-13.51,Fall by -5.83%,-8.89%,23.63%
2001-11-11,24.125,2001-12-23,26.0,Sell,29 Days,-7.69,Fall by 3.01%,-7.77%,15.86%
2002-05-12,27.485,2002-06-02,29.3,Sell,14 Days,-10.53,Fall by 10.88%,-6.6%,9.26%
2003-01-12,28.66,2003-02-02,27.65,Sell,14 Days,-4.76,Fall by 0.12%,3.52%,12.78%
2004-03-28,31.405,2004-05-09,29.85,Sell,29 Days,-11.11,Fall by 6.23%,4.95%,17.73%
2004-05-16,29.47,2004-10-31,31.7,Sell,119 Days,-10.53,Fall by 0.24%,-7.57%,10.16%
2005-03-27,36.4,2005-07-24,39.415,Sell,84 Days,-18.71,Fall by -2.13%,-8.28%,1.88%
2005-05-29,37.95,2006-01-08,45.7,Buy,159 Days,20.72,Rise by 3.86%,20.42%,22.3%
2005-08-21,38.245,2005-09-04,40.6,Sell,9 Days,-11.11,Fall by -8.38%,-6.16%,16.15%
2006-01-08,45.7,2006-03-05,48.985,Sell,39 Days,-10.87,Fall by -0.74%,-7.19%,8.96%
2006-04-23,47.61,2006-05-14,46.04,Sell,14 Days,-7.1,Fall by 7.83%,3.3%,12.26%
2008-03-30,45.93,2008-11-23,36.48,Buy,169 Days,8.0,Rise by 10.6%,-20.57%,-8.32%
2009-03-22,35.25,2009-04-19,43.15,Buy,19 Days,6.79,Rise by 26.67%,22.41%,14.09%
2011-03-20,59.17,2011-05-29,57.36,Sell,49 Days,-11.63,Fall by 8.87%,3.06%,17.15%
2012-04-15,55.88,2012-05-13,54.0,Sell,19 Days,-13.42,Fall by 10.54%,3.36%,20.51%
2013-05-12,61.65,2014-05-25,75.3,Buy,269 Days,13.36,Rise by 5.58%,22.14%,42.66%
2013-08-25,65.12,2013-10-20,69.53,Sell,39 Days,-13.9,Fall by -4.78%,-6.77%,35.88%
2015-08-02,76.26,2015-08-23,72.8,Sell,14 Days,-19.6,Fall by 7.05%,4.54%,40.42%
2016-01-17,67.05,2016-01-31,72.55,Sell,9 Days,-27.63,Fall by -13.86%,-8.2%,32.22%
2016-11-20,87.27,2018-01-07,104.74,Buy,294 Days,20.08,Rise by 8.28%,20.02%,52.24%
2018-04-15,96.06,2018-08-19,102.8,Sell,89 Days,-16.67,Fall by 0.32%,-7.02%,45.22%
2021-01-24,107.36,2021-08-08,129.14,Buy,139 Days,8.07,Rise by 10.37%,20.29%,65.51%
2021-10-03,126.11,2021-12-26,133.99,Sell,59 Days,-12.57,Fall by -2.01%,-6.25%,59.26%
2023-06-11,123.89,2024-06-02,148.98,Buy,254 Days,20.25,Rise by 5.76%,20.25%,79.51%
2025-01-19,174.28,2025-02-16,168.67,Sell,19 Days,-15.14,Fall by 8.19%,3.22%,82.73%
2025-07-06,179.55,2025-07-06,179.55,Buy,0 Days,11.9,Rise by 0%,0.0%,82.73%
