Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Spread,Actual Rise/Fall wrt Entry,Return,Cum-Return,Signal Open Price
2014-06-15,1.6828,2014-11-09,2.0719,Buy,104 Days,23.44,Rise by 1.67%,23.12%,23.12%,
2015-08-02,1.71,2015-08-30,1.82,Sell,19 Days,-19.6,Fall by -4.09%,-6.43%,16.69%,
2016-01-17,1.865,2016-02-14,1.8,Sell,19 Days,-27.63,Fall by -8.31%,3.49%,20.17%,
2016-11-20,1.96,2017-06-18,2.4,Buy,149 Days,20.08,Rise by 11.22%,22.45%,42.62%,
2018-04-15,2.305,2018-04-22,2.23,Sell,4 Days,-16.67,Fall by -6.29%,3.25%,45.88%,
2021-01-24,3.85,2021-10-24,3.235,Buy,194 Days,8.07,Rise by -10.39%,-15.97%,29.9%,
2021-10-03,3.28,2021-11-14,3.12,Sell,29 Days,-12.57,Fall by 11.43%,4.88%,34.78%,
2023-06-11,2.76,2023-10-29,2.32,Buy,99 Days,20.25,Rise by -10.51%,-15.94%,18.84%,
2025-01-19,2.16,2025-01-26,2.29,Sell,4 Days,-15.14,Fall by 0.93%,-6.02%,12.82%,
2025-07-06,2.32,2025-07-06,2.32,Buy,0 Days,11.9,Rise by 0%,0.0%,12.82%,
