Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit,Signal Open Price
Buy,2011-10-09,1.5434,2011-10-16,1.5745,4 days,2.02%,2.0150%,Rise by 3.4%,2.0150%,
Buy,2013-03-17,1.5090,2013-04-14,1.5392,19 days,2.00%,2.0013%,Rise by 2.96%,4.0164%,
Buy,2014-11-23,1.5695,2015-01-25,1.5013,44 days,-4.35%,-4.3453%,Rise by 0.49%,-0.3290%,
Buy,2015-02-01,1.5079,2015-02-08,1.5326,4 days,1.64%,1.6380%,Rise by 4.6%,1.3091%,
Buy,2015-04-19,1.4922,2015-05-03,1.5355,9 days,2.90%,2.9018%,Rise by 6.41%,4.2108%,
Buy,2016-01-31,1.4362,2016-10-09,1.2402,179 days,-13.65%,-13.6471%,Rise by 2.11%,-9.4363%,
Buy,2016-11-06,1.2469,2017-04-23,1.2802,119 days,2.67%,2.6706%,Rise by 1.01%,-6.7657%,
Buy,2018-08-26,1.2811,2018-09-16,1.3111,14 days,2.34%,2.3417%,Rise by 2.43%,-4.4239%,
Buy,2022-05-22,1.2462,2022-09-04,1.1549,74 days,-7.33%,-7.3263%,Rise by -10.38%,-11.7502%,
Buy,2022-10-09,1.1162,2022-10-30,1.1566,14 days,3.62%,3.6194%,Rise by 9.83%,-8.1308%,
