Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Spread,Actual Rise/Fall wrt Entry,Return,Cum-Return,Signal Open Price
2004-12-12,3.4,2005-03-13,4.28,Buy,64 Days,26.12,Rise by 32.35%,25.88%,25.88%,
2005-03-27,3.96,2005-04-03,3.83,Sell,4 Days,-18.71,Fall by 13.64%,3.28%,29.17%,
2005-05-29,3.57,2005-08-14,4.37,Buy,54 Days,20.72,Rise by 24.09%,22.41%,51.57%,
2005-08-21,4.43,2005-08-28,4.19,Sell,4 Days,-11.11,Fall by -133.63%,5.42%,56.99%,
2006-01-08,7.02,2006-01-22,6.6,Sell,9 Days,-10.87,Fall by -28.92%,5.98%,62.97%,
2006-04-23,12.45,2006-05-07,11.98,Sell,9 Days,-7.1,Fall by 20.16%,3.78%,66.75%,
2008-03-30,16.5,2008-05-04,13.6,Buy,24 Days,8.0,Rise by -17.58%,-17.58%,49.17%,
2009-03-22,10.45,2009-07-12,8.69,Buy,79 Days,6.79,Rise by -12.34%,-16.84%,32.33%,
2011-03-20,39.25,2011-03-27,42.95,Sell,4 Days,-11.63,Fall by 11.75%,-9.43%,22.91%,
2012-04-15,31.13,2012-04-22,29.16,Sell,4 Days,-13.42,Fall by 19.56%,6.33%,29.23%,
2013-05-12,24.59,2013-06-30,20.61,Buy,34 Days,13.36,Rise by -13.66%,-16.19%,13.05%,
2013-08-25,29.13,2013-09-01,27.84,Sell,4 Days,-13.9,Fall by 11.71%,4.43%,17.48%,
2015-08-02,17.12,2015-08-30,16.38,Sell,19 Days,-19.6,Fall by 11.57%,4.32%,21.8%,
2016-01-17,16.2,2016-01-24,14.99,Sell,4 Days,-27.63,Fall by -134.14%,7.47%,29.27%,
2016-11-20,25.3,2018-09-09,21.01,Buy,469 Days,20.08,Rise by 15.3%,-16.96%,12.31%,
2018-04-15,26.78,2018-06-03,28.39,Sell,34 Days,-16.67,Fall by 11.76%,-6.01%,6.3%,
2021-01-24,51.47,2022-04-10,62.47,Buy,314 Days,8.07,Rise by -11.56%,21.37%,27.67%,
2021-10-03,46.72,2021-10-17,50.75,Sell,9 Days,-12.57,Fall by -4.26%,-8.63%,19.05%,
2023-06-11,59.87,2024-04-21,72.38,Buy,224 Days,20.25,Rise by 1.67%,20.9%,39.94%,
2025-01-19,83.53,2025-02-02,90.68,Sell,9 Days,-15.14,Fall by -31.41%,-8.56%,31.38%,
2025-07-06,124.25,2025-09-28,152.01,Buy,59 Days,11.9,Rise by 11.52%,22.34%,53.72%,
