Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Actual Rise/Fall wrt Entry,Return,Signal Open Price
2003-06-30,39.52,2004-09-30,43.33,Buy,327 days,Rise by 3.660000%,9.65,
2003-11-30,37.72,2004-07-31,42.5,Sell,174 days,Fall by -16.930000%,-12.7,
2005-07-31,43.6,2006-04-30,49.92,Sell,194 days,Fall by -16.580000%,-14.5,
2005-08-31,43.03,2006-04-30,49.92,Sell,172 days,Fall by -18.130000%,-16.01,
2007-07-31,47.42,2008-02-29,39.74,Sell,152 days,Fall by 12.990000%,16.2,
2007-11-30,46.13,2008-04-30,37.54,Sell,107 days,Fall by 18.620000%,18.62,
2008-11-30,16.25,2009-03-31,6.82,Sell,85 days,Fall by 45.050000%,58.03,
2009-02-28,3.95,2009-03-31,6.82,Sell,20 days,Fall by -177.220000%,-72.66,
2010-06-30,14.37,2010-12-31,13.34,Sell,131 days,Fall by 23.800000%,7.17,
2011-06-30,10.96,2011-11-30,5.44,Sell,108 days,Fall by 50.360000%,50.36,
2011-09-30,6.12,2012-01-31,7.13,Sell,86 days,Fall by -19.930000%,-16.5,
2012-09-30,8.83,2013-01-31,11.32,Buy,87 days,Rise by 65.350000%,28.2,
2012-10-31,9.32,2013-03-31,12.18,Buy,107 days,Rise by 56.650000%,30.69,
2015-09-30,15.58,2016-04-30,14.56,Sell,152 days,Fall by 19.640000%,6.55,
2016-01-31,14.14,2016-08-31,16.14,Sell,151 days,Fall by -118.390000%,-14.14,
2016-02-29,12.52,2016-08-31,16.14,Sell,131 days,Fall by -147.040000%,-28.91,
2016-12-31,22.1,2017-10-31,27.39,Buy,215 days,Rise by 45.250000%,23.94,
2017-12-31,29.52,2020-04-30,24.05,Buy,607 days,Rise by 4.780000%,-18.53,
2018-02-28,32.1,2020-04-30,24.05,Buy,565 days,Rise by -3.640000%,-25.08,
2018-10-31,27.5,2019-04-30,30.58,Sell,128 days,Fall by 22.800000%,-11.2,
2019-11-30,33.32,2021-06-30,41.23,Buy,411 days,Rise by -27.820000%,23.74,
2020-03-31,21.23,2020-08-31,25.74,Sell,108 days,Fall by -11.630000%,-21.24,
2021-04-30,40.53,2022-01-31,46.14,Buy,195 days,Rise by 17.890000%,13.84,
2021-10-31,47.78,2025-03-31,41.73,Buy,889 days,Rise by -13.730000%,-12.66,
2023-10-31,26.34,2023-12-31,33.67,Sell,43 days,Fall by -51.400000%,-27.83,
2024-01-31,34.01,2024-06-30,39.77,Buy,107 days,Rise by 39.690000%,16.94,
2025-02-28,46.1,2025-02-28,46.1,Buy,0 days,Rise by 15.940000%,0.0,
2025-04-30,39.88,2025-06-30,47.32,Sell,42 days,Fall by -34.030000%,-18.66,
2025-07-31,47.27,2025-07-31,47.27,Buy,0 days,Rise by 13.070000%,0.0,
2025-10-31,53.45,2025-10-31,53.45,Buy,0 days,Rise by 0.000000%,0.0,
