Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Actual Rise/Fall wrt Entry,Return
2008-08-31,12.3,2008-12-31,8.0,Sell,86 days,Fall by 34.800000%,34.96
2008-10-31,4.2,2008-12-31,8.0,Sell,42 days,Fall by -816.670000%,-90.48
2009-09-30,13.59,2010-03-31,15.95,Buy,129 days,Rise by 209.930000%,17.37
2010-09-30,27.4,2011-02-28,41.3,Buy,106 days,Rise by 53.720000%,50.73
2010-10-31,29.32,2011-05-31,35.74,Buy,150 days,Rise by 43.660000%,21.9
2010-12-31,38.98,2013-03-31,31.8,Buy,585 days,Rise by -18.340000%,-18.42
2012-04-30,30.16,2012-08-31,34.08,Sell,88 days,Fall by 18.340000%,-13.0
2012-05-31,26.53,2012-08-31,34.08,Sell,65 days,Fall by 22.310000%,-28.46
2012-10-31,40.25,2016-12-31,25.94,Buy,1087 days,Rise by -20.990000%,-35.55
2013-03-31,31.8,2013-07-31,23.62,Sell,86 days,Fall by 12.450000%,25.72
2014-10-31,19.59,2014-12-31,23.63,Sell,42 days,Fall by 12.610000%,-20.62
2015-07-31,17.12,2016-02-29,21.34,Sell,150 days,Fall by -42.760000%,-24.65
2015-08-31,16.13,2016-02-29,21.34,Sell,129 days,Fall by -51.520000%,-32.3
2016-03-31,21.55,2016-08-31,33.24,Buy,108 days,Rise by 28.960000%,54.25
2018-06-30,29.02,2019-09-30,34.74,Buy,324 days,Rise by -28.120000%,19.71
2018-08-31,22.36,2018-12-31,26.65,Sell,85 days,Fall by -124.190000%,-19.19
2019-03-31,31.81,2019-11-30,36.5,Buy,174 days,Rise by 23.110000%,14.74
2020-06-30,59.71,2022-08-31,40.09,Buy,565 days,Rise by -16.040000%,-32.86
2022-03-31,59.45,2023-09-30,55.12,Buy,391 days,Rise by -32.570000%,-7.28
2022-06-30,46.38,2022-11-30,52.5,Sell,108 days,Fall by -18.840000%,-13.2
2023-04-30,66.85,2024-08-31,83.29,Buy,349 days,Rise by -17.550000%,24.59
2023-08-31,58.94,2024-07-31,82.55,Buy,238 days,Rise by 56.010000%,40.06
2025-02-28,99.89,2025-08-31,137.92,Buy,130 days,Rise by 35.600000%,38.07
2025-04-30,115.11,2025-09-30,155.74,Buy,108 days,Rise by 17.670000%,35.3
2025-09-30,155.74,2025-09-30,155.74,Buy,0 days,Rise by -13.030000%,0.0
