Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Spread,Actual Rise/Fall wrt Entry,Return,Cum-Return,Signal Open Price
2000-11-19,0.8333,2000-12-10,0.7,Buy,14 Days,29.16,Rise by -19.99%,-16.0%,-16.0%,
2000-12-24,0.6667,2001-01-14,0.6067,Sell,14 Days,-20.0,Fall by 11.01%,9.0%,-7.0%,
2001-03-25,0.8933,2001-04-22,1.1667,Sell,19 Days,-19.44,Fall by 5.97%,-30.61%,-37.6%,
2001-09-23,0.8333,2001-11-04,0.9,Sell,29 Days,-13.51,Fall by 0.0%,-8.0%,-45.61%,
2001-11-11,0.8667,2001-11-18,0.8333,Sell,4 Days,-7.69,Fall by 12.31%,3.85%,-41.75%,
2002-05-12,0.9,2002-06-16,0.8667,Sell,24 Days,-10.53,Fall by 3.7%,3.7%,-38.05%,
2003-01-12,0.6,2003-01-19,0.66,Sell,4 Days,-4.76,Fall by 8.88%,-10.0%,-48.05%,
2004-03-28,3.5333,2004-04-04,3.3867,Sell,4 Days,-11.11,Fall by 15.75%,4.15%,-43.9%,
2004-05-16,3.2333,2004-05-30,3.05,Sell,9 Days,-10.53,Fall by -49.49%,5.67%,-38.24%,
2005-03-27,5.1667,2005-04-10,5.0,Sell,9 Days,-18.71,Fall by 1.29%,3.23%,-35.01%,
2005-05-29,5.3333,2005-08-14,6.4667,Buy,54 Days,20.72,Rise by 22.69%,21.25%,-13.76%,
2005-08-21,6.4967,2005-09-25,6.1333,Sell,24 Days,-11.11,Fall by 12.78%,5.59%,-8.16%,
2006-01-08,5.5867,2006-02-12,5.3,Sell,24 Days,-10.87,Fall by 5.13%,5.13%,-3.03%,
2006-04-23,6.0,2006-05-07,5.75,Sell,9 Days,-7.1,Fall by 9.72%,4.17%,1.13%,
2008-03-30,6.3333,2008-05-25,7.75,Buy,39 Days,8.0,Rise by 23.63%,22.37%,23.5%,
2009-03-22,3.5333,2009-04-05,4.2467,Buy,9 Days,6.79,Rise by 33.68%,20.19%,43.69%,
2011-03-20,6.8333,2011-05-01,6.56,Sell,29 Days,-11.63,Fall by 7.07%,4.0%,47.69%,
2012-04-15,8.6,2012-06-03,8.2667,Sell,34 Days,-13.42,Fall by 10.27%,3.88%,51.57%,
2013-05-12,14.4667,2013-08-18,19.3233,Buy,69 Days,13.36,Rise by 15.21%,33.57%,85.14%,
2013-08-25,19.15,2013-09-08,20.3133,Sell,9 Days,-13.9,Fall by -74.83%,-6.07%,79.07%,
2015-08-02,24.37,2015-08-16,22.35,Sell,9 Days,-19.6,Fall by 18.75%,8.29%,87.35%,
2016-01-17,23.15,2016-02-07,25.04,Sell,14 Days,-27.63,Fall by 8.73%,-8.16%,79.19%,
2016-11-20,29.47,2017-04-16,36.03,Buy,104 Days,20.08,Rise by 16.86%,22.26%,101.45%,
2018-04-15,25.77,2018-04-29,24.46,Sell,9 Days,-16.67,Fall by -15.6%,5.08%,106.53%,
2021-01-24,38.49,2021-11-21,32.25,Buy,214 Days,8.07,Rise by 16.39%,-16.21%,90.32%,
2021-10-03,34.33,2021-10-24,36.47,Sell,14 Days,-12.57,Fall by 10.05%,-6.23%,84.09%,
2023-06-11,26.91,2023-08-06,33.86,Buy,39 Days,20.25,Rise by 29.73%,25.83%,109.92%,
2025-01-19,37.03,2025-01-26,41.25,Sell,4 Days,-15.14,Fall by -4.78%,-11.4%,98.52%,
2025-07-06,49.59,2025-09-21,59.66,Buy,54 Days,11.9,Rise by 48.4%,20.31%,118.83%,
