Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Spread,Actual Rise/Fall wrt Entry,Return,Cum-Return
2000-11-19,1.1478,2001-03-18,1.3851,Buy,84 Days,29.16,Rise by 14.0%,20.67%,20.67%
2000-12-24,1.1861,2001-01-21,1.3085,Sell,19 Days,-20.0,Fall by -9.68%,-10.32%,10.35%
2001-03-25,1.3927,2001-04-29,1.3162,Sell,24 Days,-19.44,Fall by 6.59%,5.49%,15.85%
2001-09-23,1.1478,2001-09-30,1.2817,Sell,4 Days,-13.51,Fall by -20.0%,-11.67%,4.18%
2001-11-11,1.3391,2001-12-02,1.4731,Sell,14 Days,-7.69,Fall by -2.86%,-10.01%,-5.82%
2002-05-12,1.8021,2002-05-26,1.7103,Sell,9 Days,-10.53,Fall by 12.95%,5.09%,-0.73%
2003-01-12,1.4931,2003-03-30,1.427,Sell,54 Days,-4.76,Fall by 7.94%,4.43%,3.7%
2004-03-28,1.7906,2004-08-01,1.9504,Sell,89 Days,-11.11,Fall by -1.39%,-8.92%,-5.23%
2004-05-16,1.7989,2004-08-01,1.9504,Sell,54 Days,-10.53,Fall by -0.92%,-8.42%,-13.65%
2005-03-27,2.1956,2005-04-10,2.3361,Sell,9 Days,-18.71,Fall by 3.14%,-6.4%,-20.05%
2005-05-29,2.3471,2007-05-06,2.9311,Buy,504 Days,20.72,Rise by 12.21%,24.88%,4.83%
2005-08-21,2.4903,2005-08-28,2.3361,Sell,4 Days,-11.11,Fall by 15.93%,6.19%,11.02%
2006-01-08,2.2369,2006-01-29,2.1598,Sell,14 Days,-10.87,Fall by 8.86%,3.45%,14.47%
2006-04-23,2.2038,2006-06-11,2.4352,Sell,34 Days,-7.1,Fall by 2.5%,-10.5%,3.97%
2008-03-30,2.3801,2008-07-20,1.9835,Buy,79 Days,8.0,Rise by 6.48%,-16.66%,-12.69%
2009-03-22,1.9063,2010-01-10,2.292,Buy,209 Days,6.79,Rise by -1.73%,20.23%,7.54%
2011-03-20,2.3889,2011-05-15,2.5556,Sell,39 Days,-11.63,Fall by -3.95%,-6.98%,0.56%
2012-04-15,2.7778,2012-06-24,2.6833,Sell,49 Days,-13.42,Fall by 3.4%,3.4%,3.97%
2013-05-12,3.4944,2014-03-09,4.2889,Buy,214 Days,13.36,Rise by -1.59%,22.74%,26.7%
2013-08-25,3.5722,2013-09-01,3.4222,Sell,4 Days,-13.9,Fall by -21.31%,4.2%,30.9%
2015-08-02,5.41,2015-08-16,5.2,Sell,9 Days,-19.6,Fall by 11.28%,3.88%,34.78%
2016-01-17,5.59,2016-02-21,6.34,Sell,24 Days,-27.63,Fall by -10.02%,-13.42%,21.37%
2016-11-20,6.25,2019-01-27,7.62,Buy,569 Days,20.08,Rise by 6.56%,21.92%,43.29%
2018-04-15,6.355,2018-05-20,6.75,Sell,24 Days,-16.67,Fall by -5.43%,-6.22%,37.07%
2021-01-24,7.36,2023-03-19,8.86,Buy,559 Days,8.07,Rise by 2.58%,20.38%,57.45%
2021-10-03,7.805,2021-12-19,7.47,Sell,54 Days,-12.57,Fall by 4.29%,4.29%,61.74%
2023-06-11,8.75,2023-10-29,7.405,Buy,99 Days,20.25,Rise by -11.54%,-15.37%,46.37%
2025-01-19,8.67,2025-02-23,8.1,Sell,24 Days,-15.14,Fall by 10.15%,6.57%,52.95%
2025-07-06,7.61,2025-07-06,7.61,Buy,0 Days,11.9,Rise by 0%,0.0%,52.95%
