Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Maxima Broken Date/Price,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,1999-12-31,31.06,2000-10-31,24.58,217 days,1999-06-30/29.7812,-20.88%,-20.88%,Rise by -12.73%,-20.88%
Buy,2001-07-31,28.9,2001-09-30,22.97,43 days,2001-01-31/28.57,-20.52%,-20.52%,Rise by 3.94%,-41.39%
Buy,2002-01-31,29.54,2002-09-30,22.67,172 days,2001-07-31/28.9,-23.26%,-23.26%,Rise by -18.11%,-64.65%
Buy,2003-07-31,27.59,2008-11-30,20.49,1391 days,2003-06-30/27.09,-25.73%,-25.73%,Rise by 15.95%,-90.38%
Buy,2009-11-30,28.62,2012-09-30,46.79,739 days,2009-09-30/27.47,63.49%,63.49%,Rise by 21.66%,-26.90%
Buy,2012-11-30,47.53,2015-05-31,76.3,650 days,2012-09-30/46.79,60.53%,60.53%,Rise by 40.63%,33.63%
Buy,2015-06-30,76.48,2019-11-30,122.45,1153 days,2015-05-31/76.3,60.11%,60.11%,Rise by 6.72%,93.74%
Buy,2019-12-31,125.42,2020-03-31,98.08,65 days,2019-11-30/122.45,-21.80%,-21.80%,Rise by 19.67%,71.94%
Buy,2020-06-30,127.71,2021-11-30,204.44,370 days,2019-12-31/125.42,60.08%,60.08%,Rise by 40.1%,132.02%
Buy,2023-06-30,169.81,2023-06-30,169.81,0 days,2022-07-31/162.83,0.00%,0.00%,Rise by 0%,132.02%
