Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Spread,Actual Rise/Fall wrt Entry,Return,Cum-Return
2000-11-19,15.125,2001-07-08,11.23,Buy,164 Days,29.16,Rise by 1.4%,-25.75%,-25.75%
2000-12-24,13.9,2001-01-07,15.075,Sell,9 Days,-20.0,Fall by 2.59%,-8.45%,-34.21%
2001-03-25,14.58,2001-05-06,15.994,Sell,29 Days,-19.44,Fall by 22.98%,-9.7%,-43.9%
2001-09-23,7.35,2001-09-30,6.64,Sell,4 Days,-13.51,Fall by -20.71%,9.66%,-34.24%
2001-11-11,7.96,2001-11-18,9.24,Sell,4 Days,-7.69,Fall by -11.46%,-16.08%,-50.32%
2002-05-12,10.95,2002-05-19,11.762,Sell,4 Days,-10.53,Fall by 11.18%,-7.42%,-57.74%
2003-01-12,8.576,2003-02-02,7.99,Sell,14 Days,-4.76,Fall by 11.45%,6.83%,-50.91%
2004-03-28,8.316,2004-05-02,7.68,Sell,24 Days,-11.11,Fall by 11.26%,7.65%,-43.26%
2004-05-16,6.946,2004-05-30,7.374,Sell,9 Days,-10.53,Fall by 6.05%,-6.16%,-49.42%
2005-03-27,8.256,2005-04-03,7.866,Sell,4 Days,-18.71,Fall by 11.07%,4.72%,-44.7%
2005-05-29,7.54,2006-01-29,10.06,Buy,174 Days,20.72,Rise by -13.77%,33.42%,-11.27%
2005-08-21,6.692,2005-09-11,7.262,Sell,14 Days,-11.11,Fall by 3.08%,-8.52%,-19.79%
2006-01-08,8.458,2006-01-29,10.06,Sell,14 Days,-10.87,Fall by -7.61%,-18.94%,-38.73%
2006-04-23,10.39,2006-04-30,9.788,Sell,4 Days,-7.1,Fall by 11.38%,5.79%,-32.94%
2008-03-30,8.128,2008-05-18,9.9,Buy,34 Days,8.0,Rise by 23.99%,21.8%,-11.14%
2009-03-22,3.986,2009-04-05,4.846,Buy,9 Days,6.79,Rise by 40.19%,21.58%,10.44%
2011-03-20,6.308,2011-04-10,6.116,Sell,14 Days,-11.63,Fall by 10.24%,3.04%,13.48%
2012-04-15,3.472,2012-04-22,3.366,Sell,4 Days,-13.42,Fall by 20.68%,3.05%,16.53%
2013-05-12,3.584,2013-07-07,4.352,Buy,39 Days,13.36,Rise by 23.83%,21.43%,37.96%
2013-08-25,4.042,2013-10-27,3.852,Sell,44 Days,-13.9,Fall by 17.12%,4.7%,42.66%
2015-08-02,5.67,2015-08-09,5.366,Sell,4 Days,-19.6,Fall by 13.37%,5.36%,48.03%
2016-01-17,4.288,2016-01-31,4.776,Sell,9 Days,-27.63,Fall by -11.33%,-11.38%,36.64%
2016-11-20,5.836,2017-05-14,7.11,Buy,124 Days,20.08,Rise by 6.31%,21.83%,58.47%
2018-04-15,9.778,2018-04-29,9.1,Sell,9 Days,-16.67,Fall by -9.76%,6.93%,65.41%
2021-01-24,20.222,2021-11-07,24.644,Buy,204 Days,8.07,Rise by 10.56%,21.87%,87.28%
2021-10-03,21.902,2021-11-07,24.644,Sell,24 Days,-12.57,Fall by 2.44%,-12.52%,74.76%
2023-06-11,19.688,2023-08-20,16.532,Buy,49 Days,20.25,Rise by -5.05%,-16.03%,58.73%
2025-01-19,20.64,2025-02-02,22.01,Sell,9 Days,-15.14,Fall by -5.72%,-6.64%,52.09%
2025-07-06,25.58,2025-07-06,25.58,Buy,0 Days,11.9,Rise by 0%,0.0%,52.09%
