Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Sigma,Actual Rise/Fall wrt Entry,Return,Cum-Return
2020-12-01,1.2992,2021-07-13,1.2455,Buy,160 Days,-4.48,Rise by -0.76%,-4.13%,-4.13%
2021-01-01,1.235,2021-12-23,1.2851,Buy,254 Days,-17.26,Rise by 4.02%,4.06%,-0.08%
2021-04-01,1.2564,2021-06-24,1.2303,Buy,60 Days,-3.2,Rise by 0.39%,-2.08%,-2.15%
2021-11-02,1.2374,2022-03-11,1.2756,Buy,93 Days,-5.86,Rise by 1.73%,3.09%,0.93%
2022-04-01,1.2499,2022-06-22,1.2932,Buy,58 Days,-5.08,Rise by 1.13%,3.46%,4.4%
2022-08-01,1.2816,2022-10-18,1.3713,Buy,56 Days,-4.48,Rise by 1.01%,7.0%,11.4%
2023-02-01,1.3306,2023-09-13,1.3551,Buy,160 Days,-6.94,Rise by 1.07%,1.84%,13.24%
2023-12-01,1.3556,2024-02-08,1.3464,Buy,49 Days,-3.76,Rise by 0.32%,-0.68%,12.56%
2024-01-01,1.3239,2024-08-01,1.3808,Buy,153 Days,-11.64,Rise by 1.13%,4.3%,16.86%
2025-05-01,1.379,2025-05-01,1.379,Buy,0 Days,-12.09,Rise by 0%,0.0%,16.86%
2025-07-01,1.3605,2025-10-07,1.3946,Buy,70 Days,-8.62,Rise by 0.58%,2.51%,19.36%
